metric_id,classification,dk_option,dk_n,dk_share_pct,render_n_now,render_n_post_strip,gated_in,ab_declared,confidence,rationale,flags
EXT_REW_GAP_002,a_strip,Don't know,15,8.6,175,160,,,high,"Typical value of an individual recognition award: respondent's org has a real typical value (question sits downstream of recognition-scheme content, n_raw 175 vs 213 for the budget question) but the respondent hasn't checked it. Substantive options cover the full range including 'Non-financial only'",
REW264_PEN_GREENDEFAULT,a_strip,Unsure,14,6.4,220,206,,,high,"The default fund either has a published ESG/net-zero commitment or not; 'Unsure' = respondent hasn't checked the fund's publications — textbook true DK. Critically, the doesn't-apply meaning already has its own lane on this metric: 'Not applicable (no DC default fund)' (18 picks, not in dk_options),",DK label variant 'Unsure' — strip matcher must not assume the literal 'Don't know'; separate 'Not applicable (no DC default fund)' option is an applicable-base programme candidate (out of scope for th
REW_BEN_FAM_007,a_strip,Don't know,14,6.4,218,204,marginal,,high,Paid carer's leave provision either exists or not; 'No specific provision' (131) and 'Unpaid leave only' (60) are the substantive negatives. DK = respondent unsure of policy detail. Strip: n-exclude 14 (218 -> 204).,"gated_in=[marginal] — post-strip n 204 stays comfortably above gate, but re-run the gate check after strip"
REW_BEN_REM_PAY_003,a_strip,Don't know,14,7.6,184,170,,,medium,"How remote roles are benchmarked is a method question; the substantive no-practice answer 'Not formally benchmarked' (11) exists separately, so DK reads as respondent uncertainty about method. DB overlap check is mixed but not decisive for c_route_na: of the 14 DK orgs, 5 picked 'Not applicable' on ","family composition: REW_BEN_REM_PAY_001 is already answerer_only-declared in applicable_bases.json — a strip here composes independently (different metric, aggregation untouched on 001), but if the re"
EXT_REW_GAP_004,a_strip,Don't know,14,6.6,212,198,marginal,,high,"""Do you operate a long service award scheme?"" — binary org fact; the org either runs a scheme or not, DK is respondent unsureness. Strip: n-exclude 14 (212 -> 198), remove option.","gated_in: marginal, and this is the gate for EXT_REW_GAP_005 (milestones asked of Yes-answerers): DK orgs never gated into 005, so stripping them does not disturb the child base."
REW_BEN_REM_PAY_001,a_strip,Don't know,14,8.3,108,94,marginal,answerer_only,high,"Already answerer_only-declared: 'Not applicable' (n=61) is excluded from the render base (169->108). DB check: the DK-pickers are hybrid/office-heavy orgs (13/14 gave substantive EXT_REW_GAP_009 attendance answers; none fully remote), and they chose DK over the NA option that was right there — so DK",AB-declared composition: strip deletes the 14 DK answers from the answerer base (108->94) and removes the option; the 61 NA stay declared not-on-graph. Watch residual n=94 — smallest post-strip base i
REW_BEN_SICK_006,a_strip,Don't know,13,6.1,213,200,,,high,"Review of extended/repeated OSP cases: DB cross-tab vs REW_BEN_SICK_001 shows 9/13 DK-pickers have enhanced or combination OSP — the question applies and they genuinely don't know; only 3 are statutory-only (question arguably inapplicable, but the strip n-excludes them, which is the correct outcome ","3/13 DK-pickers are SICK_001 statutory-only — minor inapplicability overlap, outcome identical under strip; metric has no NA option"
PROP_168a6213,a_strip,Don't know,13,6.0,215,202,,,high,"Extent of pay-for-skills differentiation: a pure practice-maturity scale where 'Not at all' is the substantive floor. DK is respondent uncertainty, not org practice. True DK; strip (215 -> 202).",
REW_BEN_HOL_008,a_strip,Don't know,12,5.5,217,205,,,high,"Bank-holiday swaps: Yes/No binary with a real answer for every org. DB cross-tab vs REW_BEN_HOL_002 shows DK-pickers spread across all bank-holiday treatments (4 'provided in addition', 3 'mix', 2 'included in allowance') — no doesn't-apply cluster. True DK; 12 answers n-excluded (217 -> 205).",No N/A pattern in HOL_002 cross-tab
PROP_8862fcad,a_strip,Don't know,11,5.2,213,202,,,high,"""Documented total rewards strategy?"" — 'No' and 'In development' are the substantive absence/immaturity answers; DK means the respondent hasn't checked whether a documented strategy exists. (Arguably a strategy nobody knows about is not embedded, but the option label is a non-answer, not a practice ",
EXT_REW_GAP_009,a_strip,Don't know,11,5.1,217,206,,,medium,"Attendance expectation for remote-supporting roles: DK reads as genuine uncertainty about the expectation/policy, and 'Attendance varies widely' already catches no-single-answer orgs. DB check: 4/11 DK orgs picked 'Not applicable' on REW_BEN_REM_PAY_001 (50% of those who answered vs ~36% base rate) ","question presupposes remote-supporting roles and has no N/A option; mild c-type leakage evidence (4/11 DK orgs are REM_PAY_001 N/A pickers) - if the remote family later gets an applicable-base gate, t"
REW264_PAY_HOLPAYMETHOD,a_strip,Unsure,11,5.0,220,209,,,medium,Holiday-pay calculation method for irregular-hours/part-year workers: this is a technical payroll/legal detail (post-Harpur Trust rules) that HR respondents genuinely often have not checked - 'Unsure' reads as true DK. DB check found no other question in the bank about irregular-hours/part-year work,"DK-type label variant is 'Unsure' not 'Don't know' - strip matcher must catch it; question presupposes irregular-hours/part-year workers exist and offers no N/A option, so orgs with none may be parked"
REW_BEN_HOL_005,a_strip,Don't know,11,5.2,213,202,,,high,Annual-leave carry-over: every org has a real answer (standard / limited / forfeited); DK is respondent uncertainty about their own policy. True DK; strip (213 -> 202).,
REW_BEN_FAM_001,a_strip,Don't know,10,4.6,217,207,marginal,,high,"""How does maternity/adoption pay compare to statutory?"" — every org has a factual position ('Statutory pay only' is the floor answer); DK is respondent unsureness about policy detail. Strip: n-exclude 10 (217 -> 207).",gated_in: marginal
RED_PROC_02,a_strip,Don't know,10,4.5,220,210,,,high,Whether redundancy selection criteria are documented and objective is a factual org attribute (Yes/No/Partially all substantive). True DK; 10 answers n-excluded (220 -> 210).,
REW_BEN_HOL_003,a_strip,Don't know,10,4.6,217,207,marginal,,high,"Buy/sell annual leave: 'No' is the substantive negative, so every org has a real answer. True DK; 10 answers n-excluded (217 -> 207).",gated_in: marginal; downstream REW_BEN_HOL_006 has its own 'Not applicable' option handling the no-buy case
REW_BEN_REM_PAY_005,a_strip,Don't know,10,5.5,183,173,,,medium,"Remote-role pay premiums/discounts: substantive negative exists ('No specific premiums or discounts', n=81) and the family is already gated (n_raw 183 < 220). DB cross-tab: of 6 DK-pickers who answered REW_BEN_REM_PAY_001, 3 picked 'Not applicable' there — a minority N/A flavour, but the strip's n-e","3/10 DK-pickers overlap with REM_PAY_001 'Not applicable' — weak c_route_na signal noted; a_strip chosen because family gating exists, an explicit substantive negative exists, and exclusion outcome is"
REW_BEN_FAM_005,a_strip,Don't know,10,4.7,212,202,,,high,"'Do you provide enhanced shared parental pay?' — binary with explicit 'No (statutory only)' floor. DB check: all 10 DK-pickers answered REW_BEN_FAM_001 substantively (real family-pay positions), so DK is respondent uncertainty about one specific enhancement, not absence or non-applicability. True DK",
ALLOW_02,a_strip,Don't know,9,4.1,221,212,,,high,"Practice-existence question (are allowances reviewed as part of governance) — the org either reviews or it doesn't; DK is respondent uncertainty. DB check: 8 of the 9 DK orgs list concrete allowances on ALLOW_01 (only 1 says 'None'), so this is not disguised does-not-apply. Substantive no-practice a",
REW_BEN_SICK_004,a_strip,Don't know,9,4.2,213,204,marginal,,high,"Waiting period before occupational sick pay is a factual policy parameter; the doesn't-apply meaning has its own lane ('Not applicable (statutory only)', 82 picks, not in dk_options), so DK is pure respondent uncertainty. Strip: n-exclude 9 (213 -> 204).","gated_in=[marginal] — re-run gate after strip; separate 'Not applicable (statutory only)' option (82, 38% of n) is a strong applicable-base programme candidate — out of scope for this diff"
PROP_34ffb6e2,a_strip,Don't know,9,4.1,217,208,,,high,"""Which best describes how promotion decisions are governed?"" — the low-maturity substantive answers already exist ('Mostly manager discretion', 'Ad hoc / case by case'), so DK carries no maturity signal of its own; it is pure respondent unsureness. Strip: n-exclude 9 (217 -> 208).",
PROP_ef4ff31e,a_strip,Don't know,9,4.2,215,206,,,medium,"'Do you monitor promotion rates by protected characteristics' is monitoring-flavoured, but the substantive non-monitoring state is fully expressible via 'No' (n=19) and 'Planned but not yet' (n=84). DK is respondent-level ignorance of whether monitoring happens, not an org-level 'not tracked' option","Borderline worth David's eye: for a monitoring question one could argue a reward lead not knowing signals immaturity, but the platform doctrine (DK is a non-answer) plus the explicit No option resolve"
REW_BEN_HOL_004,a_strip,Don't know,9,4.2,216,207,,,high,Length-of-service leave accrual is a plain factual Yes/No policy question with both substantive states present (Yes 157 / No 50). DK = unsure/hasn't checked. True DK; strip 216->207.,
REW_BEN_SICK_001,a_strip,Don't know,9,4.1,218,209,marginal,,high,"OSP vs SSP comparison: the substantive floor states exist explicitly ('Statutory sick pay only' n=87, 'No sick pay provided' n=3). DK = respondent unsure of the org's sick-pay stance, a checkable fact. True DK; strip 218->209.",
REW_BEN_SICK_002,a_strip,Don't know,9,4.2,214,205,,,high,"Duration of enhanced occupational sick pay: orgs without enhanced OSP have the substantive 'None (statutory only)' option (79 picked it), so DK is not N/A-in-disguise - it is respondent uncertainty about the duration. True DK; strip (214 -> 205).",
RED_PROC_01,a_strip,Don't know,8,3.6,220,212,,,high,"""Is there a documented redundancy process applied consistently?"" — org fact with 'No' and 'Partially' as substantive answers; DK is respondent unsureness. Strip: n-exclude 8 (220 -> 212).",
REW_BEN_FAM_009,a_strip,Don't know,8,3.7,215,207,marginal,,high,Paid study/exam leave: Yes/Unpaid only/No specific provision cover the full substantive space; DK is true respondent uncertainty. 8 answers n-excluded (215 -> 207).,gated_in: marginal
EXT_REW_GAP_001,a_strip,Don't know,8,3.8,213,205,,,high,"Value question (recognition budget per employee) with a substantive absence option ('No dedicated recognition budget', n=10) already in the bank, so DK is not standing in for 'we have none'. DB check: 7 of 8 DK-pickers gave real award-value answers on EXT_REW_GAP_002, so recognition is operating and",
PROP_11a83d52,a_strip,Don't know,8,3.7,207,199,,answerer_only,high,"Trans-inclusive benefits coverage: substantive states are fully covered (Yes / Partially / No), and the structural not-applicable case ('Not applicable (no health plan / not permitted)', n=9) is a separate option already answerer_only-declared in applicable_bases.json (render 216->207). DK here = re","AB-declared composition: strip removes DK from the answerer base (207->199) and drops the option from the bank; the NA option stays on the ab route (declared not-on-graph), untouched by the strip. Com"
REW_PAY_EV_KWH_66ef252b,a_strip,Don't know,8,3.7,213,205,,answerer_only,high,"Pence-per-kWh rate question. The structural absence case is the merged 'Not offered / Not applicable' option (n=3), which is already answerer_only-declared (render 216->213) and is NOT in dk_options — so the strip never touches the merged label and no special_redesign is needed. 'Don't know' here is",AB-declared composition: merged 'Not offered / Not applicable' label stays on the ab route; strip only removes the standalone 'Don't know' option and n-excludes its 8 answers. Composes cleanly — no in
RED_PROC_04,a_strip,Don't know,8,3.6,220,212,,,high,Whether outplacement/career-transition support is offered: substantive options cover all real states including 'No outplacement support' and 'Case-by-case'. DK is respondent uncertainty. True DK; strip (220 -> 212).,
PROP_d65a16e9,a_strip,Don't know,7,3.3,211,204,,,high,"The strategy was last refreshed at some real point (or never — which the separate 'No formal strategy / not reviewed' option captures, 15 picks); DK = respondent hasn't checked the date. True DK. Strip: n-exclude 7 (211 -> 204).",
EXT_REW_GAP_012,a_strip,Don't know,7,3.9,180,173,marginal,,high,"""Are employee benefits reviewed regularly...?"" — the absence-of-practice answer is the explicit 'No' (128 orgs picked it); DK is respondent uncertainty about whether reviews happen, not a maturity finding. Strip: n-exclude 7 (180 -> 173).",gated_in: marginal
PROP_d992b2ea,a_strip,Don't know,6,2.8,215,209,,answerer_only,high,"""Standard minimum time-in-role before promotion (where applicable)?"" — 'No' covers absence; DK is respondent unsureness. Strip: n-exclude 6, remove option. Composition with existing declaration is clean: 'Not applicable' (n=3) stays under the answerer_only declaration (render 218 -> 215 today), DK s",ab_declared=answerer_only for the separate 'Not applicable' option — strip must remove ONLY the DK option and leave the declared NA option and its applicable_bases.json entry untouched.
REW_BEN_REM_PAY_004,a_strip,Don't know,6,3.5,170,164,,,high,"""Are pay decisions for remote roles reviewed for consistency/fairness?"" — DB check rules out the doesn't-apply reading: all 6 DK orgs answered the remote-attendance question (EXT_REW_GAP_009) with remote-relevant patterns and none picked NA on REM_PAY_001, so they have remote roles and are genuinely",
PROP_cdff5737,a_strip,Don't know,6,2.8,216,210,,,high,"Whether/how often pay equity analyses run: 'No' and 'Planned / in development' already capture absence of the practice substantively, so DK is respondent uncertainty rather than org signal. True DK; strip (216 -> 210).",
REW_BEN_FAM_006,a_strip,Don't know,6,2.7,219,213,,,high,Paid parental leave beyond statutory: binary practice question where 'No (statutory unpaid only)' is the substantive negative. DK is respondent uncertainty. True DK; strip (219 -> 213).,
PROP_e1d1e604,a_strip,Don't know,5,8.8,217,212,,,high,"Distinct from the retained 'Not measured / not tracked' answer: DK here is respondent-level uncertainty (the org may well track the proportion; the respondent hasn't checked). True DK — 5 answers n-excluded; post-strip n is 212, not the file's 198 (which assumed stripping both DK-type options).","Second DK-type option on same metric — file's render_n_post_strip (198) assumes both options stripped; if 'Not measured' is kept per b_keep row, actual post-strip n = 212"
REW_BEN_HOL_006,a_strip,Don't know,4,1.8,217,213,,,high,"Maximum purchasable leave days is a factual policy parameter; the no-scheme meaning already has its own option ('Not applicable', 50 picks, not in dk_options), so DK is pure respondent uncertainty about the cap. Strip: n-exclude 4 (217 -> 213).",separate 'Not applicable' option (50) is an applicable-base programme candidate (no buy scheme) — out of scope for this diff
PROP_c1a3da61,a_strip,Don't know,4,1.9,211,207,,answerer_only,high,Relocation support: 'No' (n=36) captures genuine absence and 'Not applicable' (n=3) is separately answerer_only-declared (render 214->211). DK = respondent unsure whether a policy/package exists — a checkable fact. True DK; strip 211->207.,AB-declared composition: NA option stays ab-routed; strip only deletes the 4 DK answers from the answerer base and removes the option. Clean.
REW_BEN_FAM_011,a_strip,Don't know,4,1.9,216,212,,,high,"Sabbaticals/career breaks: 'No specific provision' is the substantive negative, so DK is pure respondent uncertainty. True DK; strip (216 -> 212).",
REW_BEN_FAM_012,a_strip,Don't know,3,1.4,214,211,,,high,"Menopause-leave provision question with explicit substantive negatives ('No specific provision', 'Support provided, but no specific paid leave'); DK = respondent unsure. Tiny strip: n-exclude 3 (214 -> 211).",
ALLOW_03,a_strip,Don't know,3,1.4,220,217,,,high,"""Are allowances pensionable?"" — every org with allowances has a factual answer (pensionable or not); DK is respondent uncertainty, and 'Varies by allowance/contract' already captures genuine mixed cases. DB check: 2 of the 3 DK orgs run real allowances (shift/on-call etc.) — true DK. Strip: n-exclud","1 of 3 DK picks is from an org whose ALLOW_01 answer is 'None' (no allowances) — ALLOW_03/04 are not gated on ALLOW_01, so an applicability leak exists at family level; the strip n-excludes that org c"
REW_BEN_HOL_007,a_strip,Don't know,3,1.4,216,213,,,high,"""Are employees required to take leave during set shutdown periods?"" — org fact with full substantive coverage (Yes / Yes-in-parts / No); DK is respondent unsureness. Strip: n-exclude 3 (216 -> 213).",
REW_BEN_REM_PAY_002,a_strip,Don't know,3,1.7,177,174,,,high,"Location basis for remote base pay: DB check confirms the 3 DK orgs are not hidden N/A cases - 2 of 3 answered REW_BEN_REM_PAY_001 'Base pay is protected' (so they have remote workers), none picked N/A; third left REM_PAY_001 blank. 'Varies by role or team' already catches no-single-answer orgs. Tru",
EXT_REW_GAP_013,a_strip,Don't know,2,1.1,179,177,,,high,Pay frequency is a hard fact every org has (weekly/fortnightly/monthly/mixed all offered). DK is pure respondent uncertainty. 2 answers n-excluded (179 -> 177).,
PROP_8e0b6316,a_strip,Don't know,2,0.9,214,212,,,high,"Pay review cycle frequency is factual; the substantive no-review case has its own option ('Not applicable (no pay review)', n=9), so DK is residual true-DK. 2 answers n-excluded (214 -> 212).","Separate 'Not applicable (no pay review)' option (n=9) is substantive, untouched by strip — possible N/A-programme candidate independently"
REW_BEN_FAM_002,a_strip,Don't know,2,0.9,214,212,marginal,,high,"Weeks of enhanced maternity/adoption pay: the substantive negative exists ('None (statutory only)', n=97), so DK is pure respondent uncertainty. 2 answers n-excluded (214 -> 212).",gated_in: marginal
EXT_REW_GAP_011,a_strip,Don't know,0,0.0,215,215,,,high,"Multi-select with 'Don't know' in the bank but zero seed selections — bank-only removal, no answers deleted, render_n unchanged (215 -> 215). The substantive nothing-covered answer 'None' (89) is a separate option and untouched.","dk_n=0: bank-side strip only, free of data loss"
EXT_REW_GAP_005,a_strip,Don't know,0,0.0,119,119,,,high,"Milestones recognised through long service awards — orgs reached here (n_raw 119, downstream of EXT_REW_GAP_004) run a scheme and have a factual answer. dk_n=0: nobody ever picked DK, so the strip is bank-only with zero answers deleted.",multi_select; dk_n=0 so bank-only removal; separate 'Not applicable' option (n=5) is NOT a DK option — candidate for N/A applicable-base review outside this diff
PROP_36b990f9,a_strip,Don't know,0,0.0,203,203,,answerer_only,high,"Employer pension contribution % is factual; 'Not applicable / not offered' (n=14) already captures inapplicability and is ALREADY excluded by the answerer_only declaration (render_n 203 vs n_raw 217). dk_n=0, so the strip is bank-only and composes cleanly with the existing ab declaration: DK option ","ab_declared=answerer_only — strip composes cleanly (disjoint options, 0 answers affected); 'Varies widely' option also has 0 pickers"
RED_PAY_01,special_redesign,Other / Don't know,17,9.9,171,171,,,high,"Merged label. 'Other' half = a real pay basis not in the list (substantive — the list already spans 6 bases, so genuine Others plausibly exist); 'Don't know' half = true DK. The 17 seed answers cannot be disaggregated. Recommended treatment: bank-side, replace with plain 'Other' (keep) so the DK hal",merged label Other+DK; family precedent RED_NOTICE_01 handles its merged NA/DK option via answerer_only — consistency ruling needed; strip would delete genuine 'Other' answers
RED_NOTICE_01,special_redesign,Not applicable / Don't know,15,9.0,152,152,,answerer_only,high,"Merged label, but DB evidence resolves it: all 15 pickers answered sibling redundancy metrics substantively (RED_TERM_01: 10 enhanced-standard / 2 statutory / 2 discretionary / 1 enhanced-varies; 11/15 'Yes' on RED_PROC_01 documented process). These are redundancy-active orgs, so the 'Not applicable",merged label; ab_declared=answerer_only; DOUBLE-SUBTRACTION: post-strip n 137 double-counts the exclusion already applied by the applicable-base declaration - correct post-strip render n is 152
RED_TERM_01,special_redesign,Not applicable / Don't know,2,0.9,217,217,,,high,"Merged label. NA half = 'we have no redundancy pay terms / redundancy never arises' (applicable-base semantics); DK half = 'unsure what terms we offer' (strip semantics). DB evidence says both observed picks are true-DK/mis-picks, not applicability: both orgs answered the RED family substantively (b","SEQUENCING HAZARD: the option carries is_na=true (code NOT_APPLICABLE_DON_T_KNOW) in questions.options_json, and pending migration server/migrate_red_term_01_na_flag.py (dry-run guarded, fixes the wro"
PROP_634adacd,special_redesign,Not measured / varies widely,2,1.2,166,166,,,high,"Merged label where NEITHER half is a true DK: 'Not measured' = the org does not track its median pay-review increase (b_keep-style maturity signal - not knowing IS the finding); 'varies widely' = distribution too dispersed to summarise (substantive, analogous to 'Varies by grade/tenure' answers kept",merged label; no true-DK component identified; recommend option split not strip; only n=2 affected
PROP_202fecc6,b_keep,Don't know,20,9.3,216,216,,,medium,"This is exactly the 'Does the organisation track/measure X?' style the b-class targets: if the reward respondent doesn't know whether benefit enrolment/utilisation is tracked, there is functionally no visible tracking — not-knowing is itself the maturity finding. Counter-reading: an explicit 'No' op",borderline a_strip — explicit 'No' option exists on the same metric; needs David's ruling either way
PROP_e1d1e604,b_keep,Not measured / not tracked,14,8.8,217,217,,,high,"Question asks the proportion receiving off-cycle increases; 'Not measured / not tracked' states the org does not track this — that IS the practice-maturity finding (Governance & Transparency sub-power, fittingly). DB check: 11/12 matched not-measured orgs run annual pay reviews, so off-cycle increas","FOR DAVID'S CONFIRMATION; second DK-type option on same metric ('Don't know', classified separately) — strip DK only, keep Not measured; label merges 'Not measured'/'not tracked' but the two halves ar"
PROP_674db2fc,b_keep,Provided but access not tracked,6,2.8,215,215,marginal,,high,"Not a Don't-know at all: the option states the org's actual practice — total reward statements are provided but access is not measured. Not-measuring IS the finding (governance/transparency maturity), and it completes the provided-vs-not-provided split (stripping would silently understate the 'provi",gated_in=[marginal]; option was likely swept in by keyword 'not tracked' — flag for David's confirmation as genuine substantive answer
PROP_3d4fc4e7,b_keep,Not measured,0,0.0,190,190,,,high,"Proportion/tracking question ('What proportion of employees actively enrol...'). 'Not measured' is a genuine substantive answer: the org does not track flexible-benefit enrolment, which is itself the practice-maturity finding — the canonical b_keep pattern. It is not respondent uncertainty. Companio","FOR DAVID'S CONFIRMATION (b_keep). dk_n=0 in current seed so zero render impact today, but the option must stay in the question bank — a blanket strip would delete a legitimate answer path for future "
REW_BEN_SICK_005,c_route_na,Don't know,12,5.6,213,213,,,medium,"""Are eligibility rules for occupational sick pay clearly defined and documented?"" presupposes OSP exists, but the base includes statutory-only orgs and the option set has no NA outlet (unlike SICK_004, which offers 'Not applicable (statutory only)'). DB evidence: 8 of 12 DK orgs answered SICK_001 'S","Mixed population behind one option (8 NA-proxy + 4 true-DK of 12) — needs David's ruling on whether to condition the whole metric's base on SICK_001 (my recommendation, mirrors SICK_002/SICK_004 'stat"
