metric_id,MATERIAL,grade,target_share_seeded,spike_figure,register_figure,register_base,register_grade,question_asks,overlap
REW_BEN_SICK_002,context,A,,enhanced OSP 2-4wks full pay modal 32.9% (level dist),OSP duration full pay: ~10% <1 month; ~40% >6 months; public sector most generous,orgs with OSP,A,For how long is enhanced occupational sick pay typically provided?,0.27
REW_BEN_SICK_005,context,B,,88% provide full pay for some OSP period,Sick-pay eligibility most commonly length-of-service-linked (By-service 25 / Same-for-all 13 / S,"UK employer-prevalence, answered-o",B,Are eligibility rules for occupational sick pay clearly defined and documented?,0.25
REW263_REC_PEER,context,B,,23% EMEA employees experience peer recognition,66% have an employee recognition scheme in place (peer-to-peer subset not separately split),"UK employer-prevalence, answered-o",B,Do you operate a peer-to-peer recognition programme (points or social-recognitio,0.33
REW_BEN_112,floor,B,,statutory/HMRC floor - most orgs at/above; no imposed marginal,Base employer contribution: 68% of employers sit between 3% and 6% of pensionable salary (Aon Q7,Base: UK employers responding to A,B,What is the typical employer pension contribution by level?,0.0
REW263_TIME_CARERPAID,floor,B,,statutory/HMRC floor - most orgs at/above; no imposed marginal,Paid carer's leave (above the statutory 1-week UNPAID entitlement) offered by ~31-45% of UK empl,"All-UK employers, n=2,050 HR profe",A,Do you offer enhanced carer's leave (paid) above the statutory unpaid entitlemen,0.3
REW263_TIME_NEONATAL,floor,B,,statutory/HMRC floor - most orgs at/above; no imposed marginal,Statutory from Apr 2025 (up to 12wks); ENHANCED beyond stat is the seed's subject,UK statutory + enhancement,B,Do you provide paid neonatal care leave above the statutory entitlement (Neonata,0.1
REW263_TIME_PREGLOSS,floor,B,,statutory/HMRC floor - most orgs at/above; no imposed marginal,New statutory right to pregnancy-loss leave coming 2027 (ERA 2025); currently discretionary,UK - pre-statutory,B,Do you provide paid leave for pregnancy loss / miscarriage?,0.1
REW_BEN_HOL_002,floor,B,,statutory/HMRC floor - most orgs at/above; no imposed marginal,"Statutory minimum holiday: 5.6 weeks (28 days for a 5-day week), and employers MAY include the 8","UK statutory floor (legal minimum,",A,How are UK bank holidays treated for most employees?,0.1
REW_PAY_018,floor,B,,statutory/HMRC floor - most orgs at/above; no imposed marginal,64% pay a call-out rate (Fixed-rate dominant),"UK employer-prevalence, answered-o",B,"Is there a minimum call-out payment for call-outs (e.g., minimum hours paid)?",0.0
REW263_BEN_DENTAL,held,B,,dental within health cover; 80.5% offer some health cover,Dental cash plan: 24% all; 37% large(250+); 15% SME,all-UK / large split,A,Is dental cover employer-paid or employee-funded/voluntary?,0.12
CAR_STATUS_01,context,B,,"no clean free prevalence target; latent-only, grade recorded as context",Company car is predominantly a status/seniority benefit: ~37% of UK employers offer it (2% to al,"All-UK employers, ~280 reward prof",A,Does your organisation provide company cars as a status or grade-based benefit?,0.09
REW_BEN_047,context,B,,"no clean free prevalence target; latent-only, grade recorded as context",Income-protection waiting period: not given as prevalence in these sources,n/a,EST,"If income protection is offered, what is the typical waiting period?",0.18
REW_BEN_055,context,B,,"no clean free prevalence target; latent-only, grade recorded as context",Benefit costs tracked centrally: proxy via 26% regularly review benefits; cost cited 42% as revi,all-UK,B,Are benefit costs tracked centrally as part of total reward reporting?,0.09
PROP_fe1a29ec,context,B,,"no clean free prevalence target; latent-only, grade recorded as context",Benchmarking prevalence: 49.5% of UK employers benchmark their benefits against competitors; 46.,"UK employer-prevalence; n=626, onl",B,"Do you use external pay/benefits benchmarking data (e.g., salary surveys) at lea",0.09
PROP_8862fcad,context,B,,"no clean free prevalence target; latent-only, grade recorded as context",Documented total-reward strategy: proxy via 77% have benefits objectives; 15% formal FW policy,all-UK,B,Does your organisation have a documented total rewards strategy that integrates ,0.0
RED_COST_01,floor,C,,statutory/HMRC floor - most orgs at/above; no imposed marginal,"Statutory redundancy reference (April 2026): weekly-pay cap £751, max statutory payment £22,530 ","UK statutory floor (legal minimum,",A,What was the average redundancy cost per employee in the last completed 12-month,0.1
REW26_BEN_PENSION_COST_SHARE,floor,C,,statutory/HMRC floor - most orgs at/above; no imposed marginal,Employer pension as % of total reward spend not surveyed,n/a,EST,Employer pension cost as a % of total reward spend?,0.0
REW_BEN_FAM_008,floor,C,,statutory/HMRC floor - most orgs at/above; no imposed marginal,Paid bereavement/compassionate leave is near-universal: 86% of UK employers offer it (up from 71,"All-UK employers, ~280 reward prof",A,Do you provide paid emergency or compassionate leave?,0.1
REW_Q528801,floor,C,,statutory/HMRC floor - most orgs at/above; no imposed marginal,"Typical OT/unsocial-hours multipliers: weekday 1.5x, Saturday 1.5x, Sunday 2.0x, Bank Holiday 2.","UK employer-prevalence, answered-o",B,What overtime multiplier is paid by shift type?,0.0
REW263_WEL_DATA,context,C,,64% take steps to identify/reduce stress (data-use proxy),Wellbeing/health data tracked: not a clean single prevalence; absence-data analysis common,n/a,EST,"Which wellbeing/health data do you actively track (absence rates, PMI claims, we",0.1
PROP_8e0b6316,context,C,,"no clean free prevalence target; latent-only, grade recorded as context",Pay review cycle frequency: predominantly annual (standard UK practice),all-UK,EST,How often is the organisation's main pay review cycle (for salary increases) con,0.0
