metric_id,sub_power,type,question,seeded_headline,n,status,anchor_source_flag,tranche,real_anchor,source,base,grade,notes,bucket,bucket_why
PROP_7d858df2,Benefits,single_select,"Are core benefits inclusive for LGBTQ+ employees (e.g.,",Partially 63%,217,unanchored - needs research,,1 - benefit prevalence,,,,,,,
PROP_c1a3da61,Benefits,single_select,Do you offer relocation support for hires who need to m,Yes - case by case 70%,214,unanchored - needs research,,1 - benefit prevalence,,,,,,,
RED_COST_01,Benefits,single_select,What was the average redundancy cost per employee in th,3x-4x 30%,188,ANCHORED (statutory floor),YES - gov.uk verified,1 - benefit prevalence,"Statutory redundancy reference (April 2026): weekly-pay cap £751, max statutory payment £22,530 (20yrs × 1.5wk × £751). Formula: 0.5wk/yr under-22, 1wk/yr 22-40, 1.5wk/yr 41+; max 20 yrs counted. Eligibility: 2+ years service.",gov.uk / Acas / business.gov.uk + Employment Rights (Increase of Limits) Order 2026; Employment Rights Act 2025 (SSP reform). Verified June 2026.,"UK statutory floor (legal minimum, applies to all UK employers). This is the LEGAL BASELINE, not a prevalence - it sets the floor the platform measures ""above/on/below"" against, not what % of employers do X.",A,"STATUTORY floor for redundancy COST per employee. Actual avg cost (incl enhanced packages, PILON, holiday) exceeds statutory and is employer-specific - true ""average cost"" remains unanchored/estimate. £751 cap cross-checked: 4 current sources confirm vs stale £719.",MANUAL,no %-value in anchor
RED_NOTICE_01,Benefits,single_select,How is notice typically handled in redundancy situation,Payment in lieu of notic 34%,167,unanchored - needs research,,1 - benefit prevalence,,gov.uk / Acas / business.gov.uk + Employment Rights (Increase of Limits) Order 2026; Employment Rights Act 2025 (SSP reform). Verified June 2026.,"UK statutory floor (legal minimum, applies to all UK employers). This is the LEGAL BASELINE, not a prevalence - it sets the floor the platform measures ""above/on/below"" against, not what % of employers do X.",,"Floor only - actual contractual notice (esp. senior levels: 1-3 months/6-12 months for execs) exceeds this and needs survey prevalence, not anchorable from statute.",MANUAL,no %-value in anchor
RED_PAY_01,Benefits,single_select,What pay basis is typically used to calculate redundanc,Includes regular overtim 29%,171,unanchored - needs research,,1 - benefit prevalence,,,,,,,
RED_PROC_01,Benefits,yes_no,Is there a documented redundancy process applied consis,Yes 55%,220,estimate-flagged (no clean prevalence),,1 - benefit prevalence,"Documented redundancy process: best-practice, no clean prevalence %",CIPD redundancy guidance 2026,mixed - WEAK,C,process-existence not surveyed as a clean %. Estimate-flag.,MANUAL,no %-value in anchor
RED_PROC_02,Benefits,yes_no,Are selection criteria for redundancy documented and ob,No 63%,220,unanchored - needs research,,1 - benefit prevalence,,,,,,,
RED_PROC_03,Benefits,yes_no,Are redundancy outcomes reviewed for fairness and bias?,No 62%,220,unanchored - needs research,,1 - benefit prevalence,,,,,,,
RED_PROC_04,Benefits,single_select,Is outplacement or career transition support offered?,No outplacement support 43%,220,unanchored - needs research,,1 - benefit prevalence,,,,,,,
RED_PROC_05,Benefits,yes_no,Are line managers trained to manage redundancy conversa,No 60%,220,unanchored - needs research,,1 - benefit prevalence,,,,,,,
RED_TERM_01,Benefits,single_select,What redundancy pay terms does your organisation typica,Enhanced redundancy pay 58%,217,estimate-flagged (no clean prevalence),,1 - benefit prevalence,Enhanced redundancy: common in large/structured employers; no single clean %,CIPD redundancy 2026; IRIS 2025/26,large/mixed - WEAK,C,"statutory cap £719/wk (2025/26)->£751 (Apr 2026). Enhanced-redundancy PREVALENCE not cleanly published. Estimate-flag. | legacy ref: redundancy terms vary by length-of-service (15/45) or statutory-only (14/45) or both LoS+seniority (6); ~33% offer above statutory by service, n=45 [2026-06-21]",MANUAL,no %-value in anchor
RED_TERM_02,Benefits,single_select,"What is the maximum redundancy pay multiple offered, ex",Varies by grade/tenure 49%,190,ANCHORED (sourced),,1 - benefit prevalence,Statutory cap £719/wk 2025/26 (£751 Apr 2026); max 30 weeks (20yr x1.5),IRIS / theemploymentlawsolicitors 2026,UK statutory,A,"statutory mechanics firm; the seeded 'max multiple' bands were empty (Check C flag) - degenerate, needs reseed not just anchor. || STATUTORY FORWARD-FLAG (Mercer Marsh Benefits 'Employee benefits market trends (UK)' Mar 2026): Employment Rights Act 2025 doubles the collective redundancy protective award max to 180 days' pay (from April 2026). Context for redundancy-terms benchmarking - not a prevalence figure.",MANUAL,no %-value in anchor
RED_TERM_03,Benefits,single_select,What is the maximum number of weeks' pay used to calcul,Varies by grade/tenure 47%,186,unanchored - needs research,,1 - benefit prevalence,,,,,,,
REW263_BEN_CICOVER,Benefits,single_select,What level of critical illness cover is provided (lump,Not applicable 63%,220,ANCHORED,YES,1 - benefit prevalence,Critical-illness insurance: 23% all; 42% large(250+); 12% SME,"CIPD Health & Wellbeing at Work 2025 (Sept 2025, YouGov, n=1,101; large 250+ n=376; SME n=446)",all-UK / large split,A,"seeded ~20% offer - plausible, CI less common than life/IP. | HW Table2 offered-to-all || CIPD H&W 2025 cross-check (offer to all employees, all-UK): critical-illness insurance 25% (corroborates offer-prevalence band). Health cash plan 27%, dental cash plan 24%, PMI 25%, personal accident 26%. | legacy corrob: critical illness 78%, n=78 - large-employer skew; CIPD A remains primary [2026-06-21] || COVER-LEVEL (Drewberry 2026, n=626): of employers offering Group Critical Illness, 2x salary most common (20%); 37.1% offer no CIC. Adds the lump-sum-multiple shape to CIPD's prevalence (23% all/42% large/12% SME). Broker-book skew; CIPD A stays prevalence anchor. || PROVIDE-TO-ALL (CIPD H&W 2025 Table2): critical-illness insurance offered to ALL employees 23% all-UK / 6% large(250+ for-all, +2% by-seniority) - wait, large=6%? NB Table2 'large' column is private-sector-large; CI for-all 30% private-large incl seniority. SME for-all 12-42% range by sub-band. Reconciles with the 23%-all / 42%-large / 12%-SME prevalence already anchored. Adds for-all-vs-by-seniority basis.",BASE_VARIANT,multi-base; use all-UK (first/headline)
REW263_BEN_DENTAL,Benefits,single_select,Is dental cover employer-paid or employee-funded/volunt,Not applicable 58%,220,ANCHORED,YES,1 - benefit prevalence,Dental cash plan: 24% all; 37% large(250+); 15% SME,"CIPD Health & Wellbeing at Work 2025 (Sept 2025, YouGov, n=1,101; large 250+ n=376; SME n=446)",all-UK / large split,A,"seeded ~26% offer (58% N/A + 17% not-offered) - PLAUSIBLE, matches growth trend. | HW Table2 || Mercer Marsh Benefits Mar 2026 (insurer-book data, claims context not prevalence): dental is the top cash-plan benefit at ~29-30% of claims; cash-plan claim volumes +16% 2024-25; corporate dental book premium +2%, private dental market forecast +5% CAGR 2024-29; NHS dentistry access gap affects 14M adults. NHS dental contract changes from Apr 2026. | legacy corrob: dental 78%, n=80 - large-employer skew; CIPD A remains primary [2026-06-21] || Aon UK B&T 2025: employer-funded dental 18% (doubled from 9% in 2022), +5% considering rollout in 12-18mo. Broker-book skew, Grade B - dated trend corroboration.",BASE_VARIANT,multi-base; use all-UK (first/headline)
REW263_BEN_NEURO,Benefits,single_select,Do you provide neurodiversity support and/or a formal r,No 42%,220,ANCHORED,YES,1 - benefit prevalence,"Aon 2025: neurodiversity support offered by ~30% of large UK employers (Q45 wellbeing grid); separately 16% introduced a neurodiversity benefit into their medical scheme in the past 5yr, with a further 16% planning to in next 12-18mo. Ukie games-sector 2024 (Grade C): 26% have a neurodiversity policy vs ~33% general UK average (Acas-cited).","Aon UK Benefits and Trends Survey 2025 (240+ UK employers, Spring 2025, Grade B, large-skew: 49% are 500+ FTE).","UK employers, broker-survey base, skews large/benefits-engaged. Not UK-representative - large-employer signal.",C,"Aon Q45 grid-read (~30%, large skew) + medical-plan route (16%). Grade C: chart-read, fast-moving, base-divergent. Direction clear: minority but rising fast.",BASE_VARIANT,multi-base; use all-UK (first/headline)
REW263_BEN_PENBASIS,Benefits,single_select,On what earnings basis are pension contributions calcul,Qualifying earnings (ban 44%,220,ESTIMATE-FLAGGED (no published prevalence),N/A,1 - benefit prevalence,Pension earnings basis not separately surveyed; qualifying-earnings default,-,n/a,EST,Estimate-flag; no clean prevalence || Aon UK B&T 2025 Q80: 28% of employers cap pensionable pay for higher earners. Partial detail only (not full earnings-basis split) - row stays estimate-flagged; CIPD has no clean basis-split prevalence.,MANUAL,no %-value in anchor
REW263_BEN_PMIEXCESS,Benefits,single_select,What employee cost-share or excess applies to PMI (if a,Not applicable 56%,220,ANCHORED,YES,1 - benefit prevalence,"PMI PREVALENCE corrected to CIPD 2026 Grade A all-UK: 18% of all UK employers offer PMI/health insurance (70% of large 250+ employers; 17-18% of SMEs). Of large employers offering PMI, only ~50% extend it to all staff. Excess/cost-share design detail: Broadstone 2023 (Grade B large-skew) - 53% of PMI schemes on zero or £100 excess, £100 long the mainstay; claims inflation ~18%/yr driving shift to higher excess.","CIPD Reward Survey: Focus on Employee Benefits 2026 (YouGov, n=1,059 UK reward/HR decision-makers, fieldwork 24 Oct-27 Nov 2025, weighted to be representative of the UK business population). Grade A - nationally representative all-UK base. Verified from source PDF.","All-UK employers, n=1,059, weighted to UK business population (CIPD/YouGov 2025). Nationally representative. Separate large (250+) and SME bases reported.",A,"Drewberry all-sizes 80.5% offer health cover (PMI or cash plan). Broadstone 85% PMI specifically, but availability typically limited to senior staff. Large base-composition effect. Conservative all-UK anchor: ~40-50% offer PMI to all employees; 80%+ offer some health cover at some level. || PMI all-UK prevalence is 18% (CIPD Grade A), NOT the 80.5% broker figure previously here (that was health-cover-of-any-kind among benefits-engaged employers). Excess-level design detail still from Broadstone (the only source with excess bands). Mixed grade: prevalence A, excess-band detail B.",BASE_VARIANT,multi-base; use all-UK (first/headline)
REW263_BEN_PMIMH,Benefits,single_select,Does your PMI include mental health cover and/or digita,Not applicable 57%,220,unanchored - needs research,,1 - benefit prevalence,,"CIPD Health & Wellbeing at Work 2025 (Sept 2025, YouGov, weighted n=1,101; large 250+ n=376; SME 2-249)","UK employer-prevalence, weighted nationally representative, n=1,101. Grade A for the 24/7-MH-support and virtual-GP reads.",,conditional on offering PMI; MH inclusion now common in modern policies. seeded distribution plausible. || CIPD H&W 2025 context: PMI offered to all employees 25% all-UK; 24/7 virtual GP 34%; 24/7 mental-health support 52%. Confirms digital/MH riders now common where health cover exists.,BASE_VARIANT,multi-base; use all-UK (first/headline)
REW26_BEN_PENSION_COST_SHARE,Benefits,numeric,Employer pension cost as a % of total reward spend?,4.8 4%,220,ESTIMATE-FLAGGED (no published prevalence),N/A,1 - benefit prevalence,Employer pension as % of total reward spend not surveyed,-,n/a,EST,No source figure; estimate-flag,MANUAL,no %-value in anchor
REW26_BEN_PENSION_MATCH,Benefits,single_select,"Do you offer pension contribution matching, and up to w",None 30%,220,ANCHORED (sourced this session),frozen_targets,1 - benefit prevalence,Workplace pension contribution MATCHING plan: 57% of LARGE employers (250+) offer it (Fig24); 56% provide it to all employees (Fig14). Split by financial-wellbeing policy: 34% of orgs WITH a FW policy/strategy offer matching vs 13% without. (All-UK prevalence not separately published; large-employer 57% is the firm read.) Salary-sacrifice pension 54% large.,"CIPD Reward Survey: Focus on Employee Benefits (Feb 2026, YouGov, weighted n=1,059; large 250+ n=178)","UK employer-prevalence, weighted nationally representative; large-firm figure n=178. Grade A for the 57% large read.",A,"matching prevalence not cleanly published as single %; AE min 3% employer. Estimate-flag the match-rate detail. || CONTEXT (Gallagher 2021, broker large-skew): ~20% of orgs use employer matching (19.7%); where matched, 1:1 employer:employee is most common (~77%); fixed-%-for-all is the dominant structure (62%, rising 35%->62% 2019-2021); job-level-based structures declining (11%). Salary sacrifice used by ~75%. Broker-skewed/2021 - corroborates matching is a minority structure; did not change primary anchor. | legacy corrob: employee min contribution median 4% (mode 3-5%), max median 6% - matching typically to ~5-6%, n=59-61 [2026-06-21] || CORROBORATION/UPGRADE EVIDENCE (Drewberry 2026, n=626): 75.7% of employers offer SOME pension matching; 20.3% offer none. 76% contribute above the 3% AE minimum (most common rate 5% at 26.2%, then 3% statutory 22.4%). Stronger employer-base read than the current C-grade note - supports lifting toward B. Broker-book skew vs all-UK. || CONTEXT (Drewberry 2026): pension scheme governance - 42.7% rely on regular external-expert meetings, 20.8% have NO governance process. Not a contribution metric; logged here as nearest pension home. Reference for any future pension-governance metric. || HISTORIC POINT (CIPD Reward Mgmt 2022, n=280): pension contribution-matching plan offered to-all by 28% in Oct 2021 (+6% grade-dependent). Trend line to CIPD 2026 large-firm 57% / Drewberry 2026 75.7%-any-matching. Confirms matching has grown substantially; 2022 figure is the historic anchor point, not current. || Aon UK B&T 2025 CORROBORATES salsac near-universal among broker-book employers: 95% offer salary sacrifice for regular contributions, 64% also for bonus sacrifice. Runs above CIPD all-UK (broker skew) - does NOT overwrite CIPD-A anchor, directional support only. || Aon UK B&T 2025 CORROBORATES near-universal salsac among broker-book employers: 95% offer salary sacrifice (regular), 64% also bonus sacrifice. Runs above CIPD all-UK (broker skew) - directional support only, CIPD-A anchor stands.",BASE_VARIANT,multi-base; use all-UK (first/headline)
REW26_BEN_PENSION_TYPE,Benefits,single_select,What type of pension scheme is offered to the main popu,DC 85%,220,unanchored - needs research,,1 - benefit prevalence,,"CIPD Reward Survey: Focus on Employee Benefits (Feb 2026, YouGov, n=1,059; large 250+ n=178; SME n=881)",all-UK / large split,,"Fig13=29% all; Fig24 large=47%. DC auto-enrolment dominant || Gallagher 2021 SOURCE VERDICT: Gallagher (AJG) ""2021 Benefits Strategy & Benchmarking Survey, UK Edition"" - broker survey, n=233 UK orgs, fieldwork Mar-May 2021. Convenience sample (finance/charity/prof-services skewed, larger-org skewed) - SYSTEMATICALLY OVERSTATES all-UK prevalence and is 2021 (dated). Treated as Grade B large-employer CONTEXT only; CIPD all-UK supersedes. Pension-type corroboration: DC dominates (96%), DB open to new entrants rare (3.1%), cash balance 0.9% - consistent with CIPD A-grade anchor. Other Gallagher figures captured as broker context on matching (r32) and salary-sacrifice (r35) rows. Pension contribution-RATE percentile data NOT used to convert estimate-flags (broker-skew + edges into pay-level detail lumi excludes). | legacy corrob: DC near-universal (40/42 open); DB mostly closed (19/23); GPP common - n=42, large-employer skew [2026-06-21] | legacy detail: of employers with a DB/final-salary scheme, ~44% still open & accruing vs ~56% closed (Yes 8/No 10, n=18) - confirms DB mostly legacy/closed [2026-06-21]",BASE_VARIANT,multi-base; use all-UK (first/headline)
REW26_BEN_PLSA_QM,Benefits,yes_no,Does the scheme meet the PLSA quality-mark threshold (1,No 71%,220,"ANCHORED (proxy, upper bound)",N/A,1 - benefit prevalence,"UPPER-BOUND PROXY (re-homed from REW26_BEN_PENSION_TYPE, ruled 2026-07-16): min employer contribution >=6%: 29% all / 47% large / 28% SME (CIPD Reward Feb 2026). CAVEAT: >=6% employer is necessary but NOT sufficient for PQM (also requires 12% total), so true PQM prevalence <=29% all-UK — upper bound, not exact anchor. GENERATOR: bound-only -> context unless David rules to seed at the bound. NB 47% (Fig24) vs 48% (REW_BEN_038 table) transcription discrepancy to reconcile against the source PDF.",-,n/a,B,Needs PLSA source; estimate-flag,MANUAL,no %-value in anchor
REW26_BEN_SALSAC,Benefits,yes_no,Is pension offered via salary sacrifice by default?,Yes 60%,220,ANCHORED (sourced this session),frozen_targets,1 - benefit prevalence,54% offer (large firms),CIPD pension analysis Dec 2025,large 250+ (note: mixed lower),A,"seeded 60% Yes - close to large-firm 54%, slightly high for mixed base. Plausible. || Mercer Marsh Mar 2026 / Autumn Budget 2025: pension salary-sacrifice and bonus sacrifice NIC exemption capped at GBP 2,000/yr from 6 Apr 2029; sacrifice above that becomes subject to employee+employer Class 1 NICs. Income-tax relief unaffected; sacrifice above cap still permitted. || CONTEXT (Gallagher 2021, broker large-skew): ~75% (74.8%) of orgs use salary sacrifice/exchange for pension to capture NI savings. Broker-skewed/2021 upper bound; CIPD all-UK supersedes for the primary anchor. || CORROBORATION (Drewberry 2026, n=626): 58.4% of employers offer salary exchange for pension (29.2% smart / 29.2% simple); 37.9% do not. Runs above CIPD large-firm 54% (broker-book skew). FORWARD FLAG: Autumn Budget 2025 caps NI-exempt salary-exchanged pension at first GBP2,000/yr from April 2029 - expect behaviour change. CIPD stays primary; Drewberry corroborates + dates the policy cliff. || HISTORIC CORROBORATION (CIPD Reward Mgmt 2022, n=280): workplace pension salary-sacrifice offered by 36% of all employers in Oct 2021 (to-all 36%, +7% grade-dependent = ~43%). Consistent upward trend to CIPD 2026 large-firm 54% / Drewberry 2026 all 58.4%. Shows the salsac growth trajectory. Grade B (2022). || Aon UK B&T 2025: 95% offer pension salary sacrifice (broker-book). Corroborates CIPD direction; broker skew means not an all-UK revision. || FORWARD-FLAG (Mercer Marsh Benefits 'Employee benefits market trends (UK)' Mar 2026): 2025 Autumn Budget caps NI-exempt pension salary/bonus sacrifice at first £2,000/yr from 6 Apr 2029 (sacrifice above £2k subject to employee+employer Class 1 NICs; income-tax relief unchanged). Material to salsac prevalence trend from 2029.",CLEAN,single % vs single option
REW_BEN_038,Benefits,multi_select,Which of the following benefits are currently offered t,Private Medical Insuranc 1%,220,ANCHORED,YES,1 - benefit prevalence,"CIPD 2026 (n=1,059, all-UK weighted). Prevalence ALL-UK vs LARGE(250+) vs SME: PMI/health insurance 18% all / 70% large / 17-18% SME; Occupational sick pay 18% all / 60% large; Death-in-service/life assurance: 62% large (low among SMEs ~18%); EAP 10% all / 61-62% large; Enhanced mat/pat/adoption/SPL: 60% large; Workplace pension matching 57% large / 16% SME; Pension salary-sacrifice 54% large / 15% SME; Pension min employer contrib 6%+: 29% all / 48% large; Flexible working 40% all / 57% large; Free eye tests 52% large; Coaching/mentoring 53% large; Apprenticeships 47% large; 25+ days leave 36% all / 59% large; Living Wage 38% all / 50% large. Most common ALL-UK benefits are social/leave: free drinks/snacks 50%, Christmas events 49%, flexible working 40%, Living Wage 38%, 25+ days leave 36%.","CIPD Reward Survey: Focus on Employee Benefits 2026 (YouGov, n=1,059 UK reward/HR decision-makers, fieldwork 24 Oct-27 Nov 2025, weighted to be representative of the UK business population). Grade A - nationally representative all-UK base. Verified from source PDF.","All-UK employers, n=1,059, weighted to UK business population (CIPD/YouGov 2025). Nationally representative. Separate large (250+) and SME bases reported.",A,"Multi-select benefit menu. Aon large-employer prevalence (Q25) + Drewberry all-sizes. Big base-composition gaps (e.g. EAP 88% Aon vs 31% Drewberry) - read Aon as large-employer ceiling, Drewberry as all-UK floor. || UPGRADED to CIPD Grade A all-UK (supersedes earlier Aon/Drewberry large-skew anchor). KEY: PMI all-UK 18% NOT 80% - broker surveys were measuring large/benefits-engaged employers. Large-employer figures retained inline. Large employers also more SELECTIVE: 70% offer PMI but only 50% to all staff. || CONSTRUCT-DIVERGENCE (ruled 2026-07-16): this compendium's 'EAP 10% all / 61-62% large' (CIPD Reward Survey Feb 2026, EAP as a standalone paid BENEFIT) diverges from REW26_WEL_EAP's canonical CIPD H&W 2025 67/78/39 (wellbeing PROVISION measure). Different constructs — never reconcile the numbers. CIPD H&W ratified canonical for EAP.",MANUAL,multi-select option prevalences
REW_BEN_039,Benefits,single_select,Does your organisation operate a flexible benefits plat,Yes 37%,220,unanchored - needs research,,1 - benefit prevalence,,"CIPD Reward Survey: Focus on Employee Benefits (Feb 2026, YouGov, n=1,059; large 250+ n=178; SME n=881)",all-UK / large,,"seeded ~37% operate flex scheme - plausible for mixed base (flex platforms skew large). Reasonable. | Fig13=40% all; Fig24 large=57%. NB flex-benefits-scheme distinct from flexible-working || Aon UK B&T 2025: 50% already have online benefits platform + 10% planning. Runs above CIPD flex-platform 37% (broker skew) - corroborates upward direction, CIPD-A anchor stands. || CIPD Flexible & Hybrid 2025 (A-grade) is the prevalence authority for flexible-working arrangements (91% any arrangement). The earlier Aon 50% online-platform figure is broker-skew and secondary - CIPD-A stands as anchor.",BASE_VARIANT,multi-base; use all-UK (first/headline)
REW_BEN_044,Benefits,multi_select,What are the private medical insurance (PMI) eligibilit,Not offered 43%,220,ANCHORED,YES,1 - benefit prevalence,PMI/private medical insurance: 18% all UK orgs; 70% large (250+); 17-18% SME,"CIPD Reward Survey: Focus on Employee Benefits (Feb 2026, YouGov, n=1,059; large 250+ n=178; SME n=881)",all-UK / large split,A,"base-critical: NOT the 18% all-employer figure. Co-op pool -> use 40-70%. | Fig13=18% all; Fig24=70% large; offered-to-all. Thornbridge(250-999)=large base -> ~70% | legacy corrob: PMI offered 70%, n=79 - large-employer skew; CIPD A remains primary [2026-06-21] || COVER-LEVEL (Drewberry 2026, n=626): 80.5% offer some Health Insurance or Cash Plan - comprehensive 26% / mid-range 17.9% / basic 9.7% / combined-with-cash-plan 22.9%. Broker-book skew runs well above CIPD all-UK 18% (CIPD A stays prevalence anchor); Drewberry adds the cover-tier shape. || PROVIDE-TO-ALL SPLIT (CIPD Feb 2026 Fig14, large 250+): of large employers offering PMI, 50% give it to ALL employees, 50% restrict by grade/seniority/role. Among the 18% of SMEs offering PMI, 66% give it to all. Adds eligibility-breadth detail to the prevalence anchor.",MANUAL,multi-select option prevalences
REW_BEN_045,Benefits,single_select,What life assurance cover is provided for the main popu,Not offered 43%,220,ANCHORED,YES,1 - benefit prevalence,Death-in-service/life assurance: 62% large (250+); ~18-19% all/SME (Fig28 UK-only 18%),"CIPD Reward Survey: Focus on Employee Benefits (Feb 2026, YouGov, n=1,059; large 250+ n=178; SME n=881)",large 250+ vs all,A,"seeded 57% offer - plausible, DIS is a common core benefit. | Fig24 large=62%; Fig28 UK-only=18%. Wide base split || COVER-LEVEL DISTRIBUTION (Drewberry 2026, n=626, net-new vs CIPD which gives only prevalence): of employers offering Group Life, most common level 2x salary (22.2%), then 3x (19.5%), fixed amount (16.6%), 4x (13.6%), 5x+ (2.9%). Overall 80.7% provide some Group Life (broker-book skew runs above CIPD all-UK ~18-19%; CIPD A stays the prevalence anchor, Drewberry adds the multiple-of-salary shape). || PROVIDE-TO-ALL SPLIT (CIPD Feb 2026 Fig14, large 250+): of large employers offering death-in-service/life assurance, 80% provide to ALL employees. Confirms broad-base application behind the 62% large prevalence.",BASE_VARIANT,multi-base; use all-UK (first/headline)
