id_hint,question,status,real_anchor,source,base,grade,notes,verification_state
REW264_PEN_CONTRIBFLEX,Do you offer pension contribution flexibility (e.g. reduce to statutory during cost-of-living pressure with ea,estimate-flag,Flex-down-with-restore prevalence: provider research only,—,—,E,Vendor-research flag if cited.,
REW264_PEN_SIDECAR,"Do you offer a workplace savings vehicle alongside the pension (e.g. workplace ISA, sidecar savings, credit un",estimate-flag,Sidecar/emergency-savings at trial stage; no prevalence,—,—,E,"Nest Insight trials; adjacent scale: 103 Living Pension Employers (LWF, Feb 2026).",
REW264_PEN_HELPTOSAVE,Do you promote or facilitate Help to Save for eligible lower-paid employees?,estimate-flag,Employer signposting unpublished; HMRC publishes account stats (individual base),—,—,E,,
REW264_PEN_PAYROLLLOANS,Do you offer payroll-deducted loans or an internal hardship fund?,verify-queued,Payroll-deducted loan scheme prevalence,CIPD Financial Wellbeing survey category — VERIFY,—,—,,
REW264_PEN_PAYROLLGIVING,Do you offer payroll giving?,anchored,"~4,000 organisations provide payroll giving of 45,000+ that could (~9% of eligible)",CAF Payroll Giving Report 2024,eligible employers ≥ agency threshold — base explicit,A,"APGO Quality Mark ~2,200 orgs is the engaged tier.",
REW264_WEL_EWA,Do you offer earned wage access / on-demand pay (employer-integrated)?,anchored,~4m UK workers covered by EWA (Apr 2026); CIPP Code of Practice in force,CIPP / prior session validation,"WORKERS covered, not employer prevalence — base note mandatory",A,,
REW264_WEL_EWAFEES,"If earned wage access is offered, who bears the transaction cost?",estimate-flag,Fee-model split unpublished,—,—,E,CIPP fee-transparency principle is context.,
REW264_WEL_EWACAP,Do you cap earned wage access withdrawals (e.g. % of accrued pay)?,estimate-flag,Cap-design prevalence unpublished,—,—,E,CIPP cites ≤50% accrued as good practice.,
REW264_WEL_DEBTADVICE,Do you provide access to independent debt advice or a money-guidance service?,verify-queued,Employer-funded debt advice prevalence,CIPD Financial Wellbeing survey — VERIFY,—,—,,
REW264_WEL_FINCOACH,Do you provide one-to-one financial coaching or advice (beyond pensions)?,verify-queued,1:1 financial coaching prevalence,REBA / WEALTH at work research — VERIFY,—,—,,
REW264_WEL_SEASONTICKET,Do you offer season ticket or commuting loans?,verify-queued,Season ticket / commuting loan prevalence,CIPD benefits tables — VERIFY,—,—,,
REW264_WEL_COLACTION,"Have you made a discrete cost-of-living intervention in the last 24 months (one-off payment, targeted uplift, ",verify-queued,Cost-of-living intervention types 2022-25,CIPD LMO / IDR tracking — VERIFY specific split,—,—,,
REW264_WEL_RLWACCRED,Are you accredited (or committed to accredit) as a real Living Wage employer?,anchored,"16,822 accredited Living Wage Employers; 1 in 7 UK workers work for one",Living Wage Foundation directory + media stats (Jul 2026 / Oct 2025),accredited count = employers; 1-in-7 = worker base,A,,
REW264_WEL_MEALS,Do you provide free or subsidised meals for staff?,estimate-flag,Free/subsidised meals prevalence unpublished economy-wide,—,—,E,Hospitality-module sector tilt; seed sector-aware.,
REW264_INC_SHAREPLAN,Do you operate an all-employee share plan (SAYE/Sharesave or SIP)?,anchored,"480 companies operated SAYE, 800 SIP (YE2025)",HMRC Employee Share Scheme statistics (prior validation),COMPANY COUNTS not prevalence — state base vs employer population,A,,
REW264_INC_EMICSOP,Do you operate discretionary tax-advantaged option plans (EMI or CSOP)?,anchored,"18,570 companies operated EMI, 1,390 CSOP (YE2025)",HMRC ESS statistics (prior validation),company counts — same base note,A,,
REW264_PAY_STARTPOLICY,What is your starting-salary positioning policy for new hires?,verify-queued,Starting-salary positioning policy prevalence,CIPD PPT + Totaljobs 2026 (42% of HR adverts include salary — adjacent) — VERIFY,—,—,,
REW264_HLT_VIRTUALGP,Do you provide a standalone virtual GP service (independent of PMI)?,verify-queued,Standalone virtual GP growth cited widely; standalone-vs-PMI split,GRiD / REBA — VERIFY split,—,—,,
REW264_HLT_CASHPLAN,Do you offer a health cash plan?,verify-queued,Employer-funded cash plan penetration,LaingBuisson health cover market — VERIFY (PMI spend £9.5bn 2025 is context),—,—,,unverifiable-free
REW264_HLT_OPTICAL,Do you provide optical cover or eye-care vouchers beyond DSE statutory requirements?,estimate-flag,Optical beyond DSE statutory: unpublished,—,—,E,,
REW264_HLT_CANCERPATH,Do you fund private diagnostics or fast-track cancer pathways (beyond core PMI)?,verify-queued,Fast-track diagnostics/cancer pathway provision,REBA health research — VERIFY,—,—,,
REW264_HLT_WOMENSHEALTH,"Do you provide women's health support beyond menopause leave (e.g. menopause HRT support, gynae pathways, endo",verify-queued,Clinical women's-health benefits beyond menopause leave,REBA / CIPD — VERIFY,—,—,,
REW264_HLT_MENSHEALTH,"Do you provide men's health support (e.g. screening, prostate/testicular pathways, targeted MH)?",estimate-flag,Emerging category; unpublished,—,—,E,,
REW264_HLT_FERTROUTE,"If fertility support is funded, how is it delivered?",estimate-flag,Delivery-route split (managed vs reimbursed vs PMI) unpublished,—,—,E,Fertility Matters at Work is context.,
REW264_HLT_GENDERAFF,Do you offer gender-affirming healthcare support within benefits?,estimate-flag,Provision prevalence unpublished,—,—,E,,
REW264_HLT_RISKFLEXUP,Can employees flex up group life or income protection cover at their own cost?,anchored,"Voluntary/flex layer: ~840k lives across 6,700+ CI policies; EGLP lives +27.3%; member-paid CI growing",Swiss Re Group Watch 2025/2026,policies/lives in force — not employer prevalence; base note mandatory,A,,
REW264_HLT_SPOUSELIFE,Is spouse/partner life cover offered?,estimate-flag,Spouse/partner cover exists at product level (voluntary group life); prevalence unpublished,Group Watch product structure is context,—,E,,
REW264_HLT_GIPREHAB,"If group income protection is offered, are its embedded rehabilitation and early-intervention services activel",anchored,"68% of GIP-supported absentees returned to work 2025; 5,590 helped; £2.69bn paid; mental health 48% of interventions",GRiD claims data 2026 (for 2025),"GIP-supported absentees — utilisation base, not employer prevalence",A,,
REW264_HLT_SECONDOPINION,Do you provide a second-medical-opinion service?,anchored,"Second-opinion services ship embedded in major group products (Aviva DigiCare+, Canada Life WeCare)",Provider product documentation (2026),employer prevalence ≈ group-risk penetration with provider-dependent embedding,B,,
REW264_HLT_BEREAVESUPPORT,"What bereavement support is provided beyond leave (e.g. counselling, probate/practical support)?",anchored,Bereavement/probate support lines embedded in major group life products,Provider product documentation (2026),same embedding base as second opinion,B,,
REW264_TIME_CHILDCARE,Do you provide childcare support?,estimate-flag,No free UK employer-prevalence figure located; US figures excluded by register rule,—,—,E,Statutory context: s318 workplace nursery exemption; tax-free childcare.,
REW264_TIME_FOURDAY,Do you operate a four-day week or nine-day fortnight for any population?,anchored,253 accredited four-day-week employers (Jan 2026); ~6% of UK full-timers on 4-day (Owl Labs),4 Day Week Foundation + Owl Labs (prior validation),accredited count = employers; 6% = worker base,A,,
REW264_BEN_EVSALSAC,"If a salary sacrifice car scheme is offered, is it EV-only or EV-led?",anchored,EV dominates the salary-sacrifice car channel,BVRLA (prior validation),"channel share, not employer prevalence — base note",B,,
REW264_GOV_PAYEXPLAIN,Can employees request an explanation of how their individual pay was determined (documented process)?,verify-queued,Individual pay-explanation right prevalence,"CIPD Pay, Performance & Transparency (n=832) — EXTRACT from report tables",—,—,Source located this session; figure to pull via report fetch.,
REW264_PAY_HOLPAYMETHOD,How is holiday pay calculated for irregular-hours and part-year workers?,estimate-flag,Rolled-up vs 52-week method split unpublished since Apr 2024 reform,—,—,E,gov.uk statutory pack is context.,
