id,grade,anchor,estimate_flag,na_mode,type,target_dist,seeded_n,seeded_na,seeded_top
REW264_WEL_EWAFEES,E,Fee-model split unpublished,YES,wired:REW264_WEL_EWA,single_select,"{""Employer-funded (free to employee)"": 0.7, ""Employee pays per transaction"": 0.2, ""Subscription model"": 0.1}",220,143,Employer-funded (free to emp 70%; Employee pays per transactio 19%; Subscription model 10%
REW264_WEL_EWACAP,E,Cap-design prevalence unpublished,YES,wired:REW264_WEL_EWA,single_select,"{""No cap"": 0.7, ""Yes <=50%"": 0.2, ""Yes other cap"": 0.1}",220,143,No cap 70%; Yes <=50% 19%; Yes other cap 10%
REW264_WEL_DEBTADVICE,—,Employer-funded debt advice prevalence,,none,single_select,"{""No"": 0.65, ""Yes funded"": 0.2333, ""Signposted (e.g. MaPS)"": 0.1167}",220,0,No 65%; Yes funded 23%; Signposted (e.g. MaPS) 12%
REW264_WEL_FINCOACH,—,1:1 financial coaching prevalence,,none,single_select,"{""No"": 0.65, ""Yes funded advice"": 0.2, ""Subsidised"": 0.1, ""Workshops only"": 0.05}",220,0,No 65%; Yes funded advice 20%; Subsidised 10%
REW264_WEL_SEASONTICKET,—,Season ticket / commuting loan prevalence,,none,single_select,"{""No"": 0.65, ""Yes"": 0.35}",220,0,No 65%; Yes 35%
REW264_WEL_COLACTION,—,Cost-of-living intervention types 2022-25,,none,multi_select,"{""None"": 0.65, ""One-off payments"": 0.2, ""Targeted low-earner uplift"": 0.1, ""Subsidies (meals/travel)"": 0.05}",220,0,None 71%; One-off payments 20%; Subsidies (meals/travel) 4%
REW264_WEL_RLWACCRED,A,"16,822 accredited Living Wage Employers; 1 in 7 UK workers work for on",,none,single_select,"{""No"": 0.65, ""Accredited"": 0.2, ""Committed/in progress"": 0.1, ""Pay RLW without accreditation"": 0.05}",220,0,No 65%; Accredited 20%; Committed/in progress 10%
REW264_WEL_MEALS,E,Free/subsidised meals prevalence unpublished economy-wide,YES,none,single_select,"{""No"": 0.7, ""Free"": 0.2, ""Subsidised"": 0.1}",220,0,No 70%; Free 20%; Subsidised 10%
REW264_INC_SHAREPLAN,A,"480 companies operated SAYE, 800 SIP (YE2025)",,self-declared:0.45,single_select,"{""Neither"": 0.65, ""SAYE"": 0.2, ""SIP"": 0.1, ""Both"": 0.05}",220,96,Neither 65%; SAYE 20%; SIP 10%
REW264_INC_EMICSOP,A,"18,570 companies operated EMI, 1,390 CSOP (YE2025)",,self-declared:0.40,single_select,"{""Neither"": 0.65, ""EMI"": 0.2, ""CSOP"": 0.1, ""Both"": 0.05}",220,87,Neither 65%; EMI 20%; CSOP 10%
REW264_PAY_STARTPOLICY,—,Starting-salary positioning policy prevalence,,none,single_select,"{""No policy"": 0.65, ""At/below range mid"": 0.2, ""Range minimum to mid"": 0.1, ""Anywhere in range"": 0.05}",220,0,No policy 65%; At/below range mid 20%; Range minimum to mid 10%
REW264_HLT_VIRTUALGP,—,Standalone virtual GP growth cited widely; standalone-vs-PMI split,,none,single_select,"{""No"": 0.65, ""Yes all employees"": 0.2, ""Yes some"": 0.1, ""Via PMI only"": 0.05}",220,0,No 65%; Yes all employees 20%; Yes some 10%
REW264_HLT_CASHPLAN,—,Employer-funded cash plan penetration,,none,single_select,"{""No"": 0.65, ""Employer-paid all"": 0.2, ""Employer-paid some"": 0.1, ""Voluntary only"": 0.05}",220,0,No 65%; Employer-paid all 20%; Employer-paid some 10%
REW264_HLT_OPTICAL,E,Optical beyond DSE statutory: unpublished,YES,none,single_select,"{""Yes"": 0.7, ""Statutory DSE only"": 0.3}",220,0,Yes 70%; Statutory DSE only 30%
REW264_HLT_CANCERPATH,—,Fast-track diagnostics/cancer pathway provision,,none,single_select,"{""No"": 0.65, ""Yes dedicated pathway"": 0.2333, ""Via PMI"": 0.1167}",220,0,No 65%; Yes dedicated pathway 23%; Via PMI 12%
REW264_HLT_WOMENSHEALTH,—,Clinical women's-health benefits beyond menopause leave,,none,single_select,"{""No"": 0.65, ""Yes clinical benefit"": 0.2333, ""Policy/awareness only"": 0.1167}",220,0,No 65%; Yes clinical benefit 23%; Policy/awareness only 12%
REW264_HLT_MENSHEALTH,E,Emerging category; unpublished,YES,none,single_select,"{""No"": 0.7, ""Yes"": 0.3}",220,0,No 70%; Yes 30%
REW264_HLT_FERTROUTE,E,Delivery-route split (managed vs reimbursed vs PMI) unpublished,YES,wired:REW263_TIME_IVF,single_select,"{""Specialist provider/insurance (e.g. managed benefit)"": 0.7, ""Direct reimbursement"": 0.2, ""Via PMI"": 0.1}",220,198,Specialist provider/insuranc 68%; Direct reimbursement 23%; Via PMI 9%
REW264_HLT_GENDERAFF,E,Provision prevalence unpublished,YES,none,single_select,"{""No"": 0.7, ""Yes explicit"": 0.2, ""PMI standard terms"": 0.1}",220,0,No 70%; Yes explicit 20%; PMI standard terms 10%
REW264_HLT_RISKFLEXUP,A,"Voluntary/flex layer: ~840k lives across 6,700+ CI policies; EGLP live",,none,single_select,"{""No"": 0.727, ""Yes both"": 0.182, ""Yes one"": 0.091}",220,0,No 73%; Yes both 18%; Yes one 9%
REW264_HLT_SPOUSELIFE,E,Spouse/partner cover exists at product level (voluntary group life); p,YES,none,single_select,"{""No"": 0.7, ""Employer-paid"": 0.2, ""Voluntary"": 0.1}",220,0,No 70%; Employer-paid 20%; Voluntary 10%
REW264_HLT_GIPREHAB,A,"68% of GIP-supported absentees returned to work 2025; 5,590 helped; £2",,wired:REW_BEN_046,single_select,"{""Actively used"": 0.32, ""Rarely used"": 0.4533, ""Unaware of services"": 0.2267}",220,128,Rarely used 46%; Actively used 32%; Unaware of services 23%
REW264_HLT_SECONDOPINION,B,Second-opinion services ship embedded in major group products (Aviva D,,none,single_select,"{""No"": 0.65, ""Yes"": 0.35}",220,0,No 65%; Yes 35%
REW264_HLT_BEREAVESUPPORT,B,Bereavement/probate support lines embedded in major group life product,,none,multi_select,"{""None"": 0.65, ""Counselling"": 0.2, ""Probate/legal helpline"": 0.1, ""Financial guidance for dependants"": 0.05}",220,0,None 67%; Counselling 17%; Probate/legal helpline 8%
REW264_TIME_CHILDCARE,E,No free UK employer-prevalence figure located; US figures excluded by ,YES,none,multi_select,"{""None"": 0.7, ""Workplace nursery scheme"": 0.16, ""Nursery partnership/subsidy"": 0.08, ""Backup/emergency care"": 0.04, ""Childcare concierge"": 0.02}",220,0,None 69%; Workplace nursery scheme 13%; Nursery partnership/subsidy 7%
REW264_TIME_FOURDAY,A,253 accredited four-day-week employers (Jan 2026); ~6% of UK full-time,,none,single_select,"{""No"": 0.94, ""4-day week (100:80:100)"": 0.0343, ""9-day fortnight"": 0.0171, ""Trialling"": 0.0086}",220,0,No 94%; 4-day week (100:80:100) 3%; 9-day fortnight 2%
REW264_BEN_EVSALSAC,B,EV dominates the salary-sacrifice car channel,,self-declared:0.55,single_select,"{""EV-only"": 0.65, ""EV-led (EV prioritised)"": 0.2333, ""Fuel-neutral"": 0.1167}",220,124,EV-only 66%; EV-led (EV prioritised) 23%; Fuel-neutral 11%
REW264_GOV_PAYEXPLAIN,—,Individual pay-explanation right prevalence,,none,single_select,"{""No"": 0.65, ""Formal right/process"": 0.2333, ""Informal via manager"": 0.1167}",220,0,No 65%; Formal right/process 23%; Informal via manager 12%
REW264_PAY_HOLPAYMETHOD,E,Rolled-up vs 52-week method split unpublished since Apr 2024 reform,YES,none,single_select,"{""Rolled-up 12.07%"": 0.7, ""52-week average"": 0.1714, ""Accrual per GB regs"": 0.0857, ""Unsure"": 0.0429}",220,0,Rolled-up 12.07% 70%; 52-week average 17%; Accrual per GB regs 9%
