id_hint,question,status,real_anchor,source,base,grade,notes,verification_state
REW265_TIME_DOMABUSE,Do you provide paid leave or formal support for employees experiencing domestic abuse?,verify-queued,EIDA membership (employers committed to action) in the low thousands,Employers' Initiative on Domestic Abuse — VERIFY current member count; note membership ≠ paid-leave provision,EIDA members vs all UK employers — base differs sharply,—,"Membership is commitment, not provision; do not conflate when verifying.",
REW265_TIME_ELDERCARE,Do you provide eldercare navigation or support services?,verify-queued,Carers UK employer research covers carer-support provision,Carers UK / Employers for Carers publications — VERIFY nearest construct,Employers for Carers membership skews committed employers,—,,
REW265_TIME_BEREAVEDPAT,Have you enhanced pay or leave for the new bereaved-partner paternity entitlement (ERA 2026)?,estimate-flag,New statutory right; no enhancement-prevalence data exists yet,gov.uk ERA 2026 commencement guidance (statutory context only),—,E,"First-mover metric: the co-op will generate the first distribution. Statutory existence is A-grade context, not an employer-prevalence anchor.",
REW265_TIME_FLEXPATTERN,Do you operate compressed hours or core-hours flexibility as standard?,verify-queued,CIPD Flexible Working survey publishes prevalence by pattern type,CIPD FW survey tables (prior-validated source family) — VERIFY per-pattern figures,CIPD FW respondents,—,Strongest available source; per-option splits should be verifiable.,anchored-reseed
REW265_TIME_DISCONNECT,Do you have a right-to-disconnect or out-of-hours communication policy?,estimate-flag,No UK statutory right; prevalence unpublished,—,—,E,Ireland/EU context exists but is the wrong jurisdiction for an anchor.,
REW265_TIME_EXTRADAYS,"Do you offer additional discretionary days (e.g. birthday leave, wellbeing days, volunteering already covered)?",estimate-flag,Job-ads analyses exist but lack a defensible employer base,—,—,E,Indeed/Reed ad-scrape figures fail the base/denominator rule.,
REW265_TIME_LEAVEDONATE,Can employees donate unused annual leave to colleagues?,estimate-flag,US-origin practice; no UK prevalence published,—,—,E,,
REW265_TIME_UNLIMITEDAL,Do you offer unlimited or uncapped annual leave for any population?,estimate-flag,No defensible UK prevalence figure,—,—,E,"Widely discussed, thinly measured; expect low prevalence.",
REW265_TIME_WORKATION,Is there a formal cap on consecutive remote-working days abroad (workation policy)?,estimate-flag,No whole-market split on overseas-remote policy,—,—,E,"CIPD FW touches homeworking, not cross-border policy.",
REW265_BEN_EVCHARGE,Do you provide workplace EV charging?,verify-queued,Workplace Charging Scheme grant statistics give installed-socket counts,gov.uk DfT electric vehicle charging device statistics / WCS grant data — VERIFY nearest employer-base construct,"WCS counts grant-funded sockets, not share of employers — base translation needed",—,Strong official series exists; construct translation is the verify task.,directional
REW265_BEN_TRANSPORT,Do you subsidise public transport beyond season-ticket loans?,estimate-flag,No prevalence figure for transport subsidy beyond loans,—,—,E,,
REW265_BEN_GREENBEN,"Do any benefits explicitly support sustainable choices (green pension option, carbon budget for travel, home-energy support)?",verify-queued,REBA sustainability research covers green-benefit adoption,REBA reports — VERIFY nearest construct and base,REBA member/respondent base skews large employers,—,,
REW265_GOV_VOLGAPS,Do you voluntarily publish any pay gap beyond statutory gender reporting?,verify-queued,CIPD PPT reports the share of employers publishing ethnicity pay gaps voluntarily,"CIPD PPT tables (n=832, prior-validated) — VERIFY per-gap splits",CIPD PPT n=832,—,Strongest free source; disability-gap figure may be thinner than ethnicity.,anchored-reseed
REW265_GOV_SOCIOECON,Do you monitor pay outcomes by socio-economic background?,verify-queued,Social Mobility Foundation Employer Index tracks socio-economic data collection,Social Mobility Foundation / Employer Index publications — VERIFY figure and base,Index entrants self-select; strong committed-employer skew,—,Base caveat essential if used.,
REW265_GOV_PAYAPPEAL,Is there an appeals or challenge route for pay review outcomes?,verify-queued,CIPD PPT covers pay-decision challenge/appeal mechanisms,CIPD PPT tables — VERIFY item and split,CIPD PPT n=832,—,,
REW265_GOV_EIA,Are reward changes subject to an equality impact assessment before implementation?,estimate-flag,EIA prevalence for reward changes unpublished outside the public sector,—,—,E,Public-sector PSED duty creates a sector skew; seed with tilt.,
REW265_PAY_AGENCYPAR,"Do agency workers receive parity on pay-adjacent benefits beyond AWR week-12 requirements (e.g. recognition, discounts, EAP)?",estimate-flag,No prevalence data beyond statutory AWR compliance,—,—,E,,
REW265_PAY_CONTRACTOR,"Are contractors/freelancers given access to any employee benefits (EAP, discounts, training)?",estimate-flag,No UK figure for contractor benefit access,—,—,E,,
REW265_PAY_SEASONAL,Do you pay a premium or retention bonus for seasonal peaks?,estimate-flag,No published prevalence for seasonal peak premiums,—,—,E,"Sector-concentrated (retail, hospitality, logistics); seed with tilt.",
REW265_GOV_COMPSOFT,Do you use dedicated compensation management software for pay review cycles?,estimate-flag,Vendor market-share claims fail the base rule; no independent UK figure,—,—,E,,
REW265_GOV_BROKER,Do you use an external benefits broker or adviser?,verify-queued,REBA/industry research covers broker usage among larger employers,REBA Benefits Design research — VERIFY figure and base,REBA respondent base skews large,—,,
REW265_GOV_REBROKE,How frequently do you run a full benefits-market review or re-broke?,verify-queued,REBA research covers review cadence,REBA Benefits Design research — VERIFY,REBA respondent base,—,,
REW265_GOV_TAKEUP,Do you measure benefits take-up and use it in design decisions?,verify-queued,REBA research covers take-up measurement,REBA reports — VERIFY nearest item,REBA respondent base,—,,
REW265_GOV_TRS,What proportion of total reward spend is communicated to employees (e.g. via TRS coverage)?,verify-queued,TRS adoption reported in vendor/REBA research,REBA — VERIFY; treat vendor figures as B-grade with base flag,Respondent bases vary; flag on use,—,,
REW265_BEN_ENHANCEDVR,Do you offer voluntary redundancy terms enhanced above your compulsory terms?,estimate-flag,No published split of VR vs compulsory terms,—,—,E,"CIPD LMO covers redundancy intentions, not terms design.",
REW265_BEN_PENBRIDGE,Is early-retirement or pension-bridging support offered in restructuring?,estimate-flag,Largely legacy DB-era practice; no current prevalence figure,—,—,E,Expect concentration in DB-heritage sectors.,
REW265_GOV_GPGNAMING,"Are you prepared to name providers of outsourced workers in your gender pay gap report (ERA requirement, commencement date TBC)?",estimate-flag,New ERA requirement; no readiness data published yet,gov.uk ERA guidance (statutory context only),—,E,Statutory context is solid; employer readiness is the unknown the co-op will measure first.,
