metric_id,classification,na_share_pct,confidence,proposed_base,parent_qid,parent_condition,coherence_check,rationale,flags
REW264_PEN_NICSHARING,a_conditioning_child,40.5,medium,orgs with a pension sal-sac scheme = WEL_BMAP_FIN_SALARY_SACRIFICE_001 tick 'Salary Sacrifice for Pension Contributions' (n=120 of 213 answerers); 'No sal-sac scheme' (89) leaves graph+n,WEL_BMAP_FIN_SALARY_SACRIFICE_001,tick 'Salary Sacrifice for Pension Contributions',"89 child no-salsac vs 93 WEL_BMAP no-pension-tick: overlap 43, 46 N/A-but-parent-Yes, 50 parent-No-but-substantive. Alternative REW26_BEN_SALSAC 'No' (89 — identical size): overlap 58, 31 mismatched each way. Both candidates messy; neither cleanly generated the child.",'No sal-sac scheme' is a pure parent-absence encoding and the WEL_BMAP multi-select is the established benefits-presence authority for it; alternative REW26_BEN_SALSAC asks 'by default' which conflates presence with default-enrolment.,"Sal-sac family: REW264_PEN_NICSHARING, REW264_PEN_SALSACIMPACT, REW264_PEN_SALSACRESPONSE, REW_BEN_102 (participation), REW26_BEN_SALSAC — should all take the SAME parent definition when ruled. REW264_BEN_EVSALSAC is the separate car-scheme branch (gate = REW_BEN_038 tick 'Salary sacrifice car scheme'). Parent-choice ruling needed; seed repair on 46 N/A-but-parent-Yes orgs."
REW_BEN_044,a_conditioning_child,37.3,high,orgs offering PMI = REW_BEN_038 tick 'Private Medical Insurance (PMI)' (n=130),REW_BEN_038,REW_BEN_038 ticks 'Private Medical Insurance (PMI)' (130 tickers of 220) — the established PMI presence authority (r3sw6/r3sw8 precedent),"82 'Not offered' orgs (all pure single-option rows, no co-selection) vs 90 038-no-tick orgs: overlap only 40; 42 orgs say 'Not offered' on 044 while TICKING PMI on 038; 50 no-tick orgs answered eligibility rules. 92 incoherent orgs total.","'Not offered' on an eligibility-rules question is a parent-exists skip, and the platform already ruled REW_BEN_038 ticks the PMI existence authority (r3sw6 premium re-base; r3sw8 PMICOMP seeded over the 130 tickers). Same parent definition must apply here.",PMI family: REW_BEN_038 tick parent of REW_BEN_044 / REW_BEN_100 ('Not offered'=16 vs 90 no-tick — sibling wildly inconsistent) / REW263_BEN_PMIEXCESS (N/A 124) / PMI premium matrix. The 42+50 mess is major seed-repair work but the parent is the ruled authority — (a) stands.
REW_BEN_048,a_conditioning_child,34.1,high,orgs offering income protection = REW_BEN_046 != 'No' (n=80 of 220),REW_BEN_046,!= 'No' (Short-term only / Long-term only / Both — IP offered),"75 N/A vs 140 REW_BEN_046='No': overlap 75, ZERO N/A-but-parent-Yes (perfect one-way nesting); 65 parent-No-but-substantive (drift from post-June reshapes). Alternative REW_BEN_038 no-IP-tick (158): overlap 56, 19 N/A-but-tick-Yes — worse. The two authorities themselves disagree: 046-No vs 038-no-tick overlap 103; 37 046-No-but-tick-Yes; 55 tick-No-but-046-offering","Textbook 'If income protection is offered...' child. The David-signed apply_incprot.py precedent conditioned 047/048 on REW_BEN_046 explicitly ('every 046-No org -> Not applicable / not offered'), and the live N/A set is still perfectly nested in 046-No — a cleaner and precedent-backed alternative to the REW_BEN_038 IP tick, which contradicts the N/A set.","IP FAMILY: REW_BEN_046 parent of REW_BEN_047 (its N/A=128 differs from 048's 75 — intra-family drift, seed-repair) and 048; related REW264_HLT_GIPREHAB, REW264_HLT_RISKFLEXUP. Presence-authority conflict (REW_BEN_046 vs REW_BEN_038 IP tick disagree on 92 orgs) needs a reconciliation ruling; recommend 046 as THE IP authority given apply_incprot.py precedent."
REW_INC_071,a_conditioning_child,33.2,high,orgs with any bonus scheme = REW_INC_103 != 'None' (n=179); 'Not applicable' (73) leaves graph+n,REW_INC_103,answer != 'None' (some bonus scheme exists),73 child-N/A vs 41 parent-No (INC_103 'None'): overlap 41 — ALL parent-No orgs are inside the N/A set and 0 parent-No orgs gave substantive answers (r3sw5 assert still holds live); 32 N/A-but-parent-Yes remain (bonus-having orgs answering N/A).,r3sw5 (migrate_r3sw5_preaudit_bundle.py Part B) already did DATA-level clawback conditioning — bonus-less orgs were flipped to 'Not applicable' with a hard assert of zero clawback-Yes without a bonus scheme; this sweep adds the missing graph/denominator treatment on the same parent.,NOT already_conditioned in this sweep's sense — N/A still sits on the graph at 33%. The 32 bonus-having N/A orgs are the seed-repair: likely 'No' in substance (or LTI-only readings); needs a flip-or-keep ruling before base goes live. Bonus family with REW_INC_069/REW263_INC_DEFERRAL.
REW_PAY_019,a_conditioning_child,30.5,medium,orgs paying any allowance = REW_PAY_016 any tick except 'None' (n=215; parent-No side is currently EMPTY),REW_PAY_016,any tick except 'None' on 'Which allowances or premiums are currently paid?' (active successor of retired ALLOW_01; parent-No = 'None' tick),67 N/A vs 0 REW_PAY_016='None' orgs: overlap 0 — every one of the 67 N/A orgs ticks at least one allowance on 016 (215/215 answerers tick something),"N/A means 'no allowances to consolidate' and REW_PAY_016 is the semantically exact allowances presence authority, but its parent-No set is empty — class (a) on semantics with the whole 67-org N/A set flagged as seed mess","suspect N/A↔'Never' conflation ('Never' has only 3 answers vs 67 N/A — many N/As likely mean never-consolidated); allowances family: REW_PAY_016 authority, children REW_PAY_017/018/019/021 + ALLOW_02-04; until reseeded, conditioning on 016 is a no-op and behaves like re-percentage"
REW265_GOV_AIDISCLOSE,a_conditioning_child,28.6,high,orgs using AI in pay decisions = REW262_GOV_AIINPAY not 'No AI use' (n=88),REW262_GOV_AIINPAY,REW262_GOV_AIINPAY != 'No AI use' (org uses AI in pay decisions),"63 child-N/A vs 132 parent-'No AI use'; overlap only 36; 27 N/A-but-parent-uses-AI; 96 parent-No-but-substantive (No-AI orgs answering disclosure Yes/No/on-request). Sets very messy - substantial seed repair, but parent is definitionally right.",The N/A label literally names the parent condition ('no AI use in pay decisions') and the bank holds the exact gate question. Cleanest possible (a).,AI-governance family (REW262_GOV_AIINPAY parent). The 96 parent-No substantive answers are the single worst parent-side incoherence in this batch - flag for seed-repair queue.
REW263_INC_POOLFUND,a_conditioning_child,28.2,medium,orgs with a bonus scheme = REW_INC_103 not 'None' (n=179),REW_INC_103,REW_INC_103 != 'None' (a bonus scheme exists),62 child-N/A vs 41 scheme-None (all answered child); overlap 15; 47 N/A-but-scheme-Yes; 26 scheme-None-but-substantive. The N/A is conflating 'no scheme' (15) with 'scheme but no formal pool' (47).,"Pool funding basis presupposes a bonus scheme; REW_INC_103's 'None' side is the bank's scheme-exists authority. Parent semantically right, so (a) despite messy sets.","47 scheme-Yes N/A orgs likely mean 'no formal pool / fully discretionary' - that is a substantive stance; consider adding an on-graph 'No formal pool' option in redesign, else these orgs vanish from the conditioned base with no answer. Bonus family: REW_INC_103 parent of POOLFUND, REW_INC_104, REW_INC_060/061."
REW_BEN_HOL_006,a_conditioning_child,23,high,orgs where employees can buy leave = HOL_003 buy-side (n=110),REW_BEN_HOL_003,"REW_BEN_HOL_003 in ('Yes - both buy and sell options are available','Yes - buy only') (leave-buy available)",50 child-N/A vs 107 buy-No orgs who answered child; overlap 49 - only 1 N/A-but-buy-Yes org. N/A side near-perfectly coherent; the mess is 58 buy-No orgs giving substantive max-buy-days answers (seed repair).,Max-buyable-days only applies where a buy scheme exists; REW_BEN_HOL_003's buy-side is a clean exists-gate in the bank.,Don't know present on both parent and child (blanket-DK diff). Cleanest N/A-side coherence in batch (49/50).
REW_PAY_097,a_conditioning_child,20.5,medium,orgs using performance ratings = PERF_03 Yes-side (n=170; treatment of 19 PERF_03 DKs needs the blanket-DK ruling),PERF_03,PERF_03 != 'No – rating-less approach' — org uses performance ratings (Yes-all 46 + Yes-some 124 = 170; parent-No = 31 rating-less),"45 097-N/A vs 31 PERF_03 rating-less: overlap only 5. N/A composition measured org-by-org: 22 'ratings for some populations', 13 'ratings for all', 5 rating-less, 5 PERF_03-DK — 35/45 N/A orgs DO use ratings. 26 rating-less orgs answered differentiation substantively.","Differentiation-by-rating is definitionally impossible without ratings — PERF_03 is the semantically necessary gate and exists cleanly in the bank. Sets are very messy (see check), which per the sweep rule stays (a) with the mess logged as seed repair; note the live N/A answers mostly encode something else (likely 'no structured increase cycle'), so David may rule this down to (b).",PERF_03 DK (19) co-option — queued blanket-DK. Sibling REW263_PAY_MERITMATRIX shares the identical implicit gate — condition together. Ambiguity flag: 097's N/A may conflate 'no ratings' with 'no pay-increase cycle' (cf. PROP_8e0b6316's 9 no-pay-review orgs).
REW_INC_065,a_conditioning_child,18.2,medium,orgs with a bonus scheme = REW_INC_103 != 'None' (n=179),REW_INC_103,value != 'None' ('What proportion of employees are eligible for a bonus scheme?' — 'None' 41 is the only bonus-exists signal in the bank; no explicit yes/no gate exists),40 N/A vs 41 103='None': overlap only 12 (28 N/A-but-103-has-bonus; 29 None-but-065-substantive); 25 of the 40 N/A orgs and 27 of the 41 'None' orgs also answered REW_INC_060 bonus measures substantively,Gatekeeper-metric question only applies where a bonus/incentive scheme exists; REW_INC_103's 'None' is the semantically right presence gate (counts match 40≈41) though the live sets are scrambled — seed-repair,bonus family: REW_INC_103 presence proxy; children REW_INC_060/061/104/065 + REW263_INC_POOLFUND/REW263_INC_DEFERRAL; consider adding an explicit bonus-exists yes/no gate — 'None' on a proportion question is a thin authority
REW264_INC_EMICSOP,a_conditioning_child,12.7,medium,orgs with share capital = SHAREPLAN not 'Not applicable (no shares)' (n=181 of 220),REW264_INC_SHAREPLAN,REW264_INC_SHAREPLAN != 'Not applicable (no shares)' (org has share capital),"28 EMICSOP-N/A vs 39 SHAREPLAN-'no shares'; overlap 12; 16 N/A-but-SHAREPLAN-non-NA; 27 no-shares-but-EMICSOP-substantive. Corroboration: the 28 N/A orgs are Charity 6, Mutual/Co-op 4, Public Sector Body 5, NULL ownership 13 - structurally shareless, semantics right even where sets disagree.","'No share capital' is the same latent scope fact the sibling SHAREPLAN already encodes as its non-N/A side ('the non-Not-offered side of another metric' pattern); 'Neither' stays on graph as the substantive could-but-doesn't answer. No dedicated has-share-capital exists-question is in the bank, so the shared SHAREPLAN gate is the best available parent.","Share-plan family: SHAREPLAN parent of SIPELEM/SHAREPART; EMICSOP shares the latent no-share-capital gate. The two N/A sets (28 vs 39, overlap 12) need reconciliation - seed repair. orgs.ownership_type could seed a dedicated share-capital gate (caveat: 63 orgs NULL ownership). MULTI_FACTOR_LATENT_SPEC territory."
REW264_PEN_SALSACIMPACT,a_conditioning_child,10.5,high,orgs with pension salary sacrifice = WEL_BMAP tick 'Salary Sacrifice for Pension Contributions' (n=120 of 213 answerers),WEL_BMAP_FIN_SALARY_SACRIFICE_001,WEL_BMAP_FIN_SALARY_SACRIFICE_001 includes tick 'Salary Sacrifice for Pension Contributions',23 child-N/A: vs WEL_BMAP no-pension-tick overlap 20/23 (only 3 N/A-but-tick-Yes; 73 no-tick-but-substantive). Rejected alternatives: REW26_BEN_SALSAC='No' overlap 15/23 ('by default' wording wrongly gates out offer-but-not-default orgs); REW_BEN_102='Not offered' overlap 6/23.,NIC-cap impact assessment only applies where pension sal-sac operates; the WEL_BMAP multi-select tick is the exact presence authority (established parent type per r3sw6/r3sw8) and measured the most coherent of three candidates.,Sal-sac family: SALSACIMPACT-N/A and SALSACRESPONSE-N/A are the IDENTICAL 23 orgs - gate both with the same parent. Internal contradiction: REW264_PEN_NICSHARING has 'No sal-sac scheme'=89 orgs (all 23 inside it) - 89 vs 23 no-scheme claims is seed-repair work; NICSHARING's option is itself a next-sweep N/A candidate.
REW264_PEN_SALSACRESPONSE,a_conditioning_child,10.5,medium,orgs with pension sal-sac = WEL_BMAP_FIN_SALARY_SACRIFICE_001 tick 'Salary Sacrifice for Pension Contributions' (n=120 of 213 answerers) — WEL_BMAP multi-select is the prompt-recognised presence authority,WEL_BMAP_FIN_SALARY_SACRIFICE_001,tick 'Salary Sacrifice for Pension Contributions',"23 N/A: vs WEL_BMAP no-pension-tick (93): overlap 20, 3 N/A-but-tick-Yes, 73 no-tick-but-substantive; N/A set is IDENTICAL to REW264_PEN_SALSACIMPACT's N/A (23==23, set-equal); vs NICSHARING 'No sal-sac scheme' (89): all 23 contained, 66 no-scheme-but-substantive; vs REW_BEN_102 'Not offered' (43): overlap only 6","A response to the 2029 pension sal-sac cap only applies where a pension sal-sac scheme exists. The bank has four presence signals (WEL_BMAP tick, REW26_BEN_SALSAC 'by default', REW_BEN_102 participation, REW264_PEN_NICSHARING 'No sal-sac scheme') — the WEL_BMAP tick is the cleanest exists-semantics and coheres best with the N/A set.",SAL-SAC FAMILY: REW264_PEN_SALSACIMPACT (identical N/A set — same ruling should cover both) / NICSHARING / REW26_BEN_SALSAC / REW_BEN_102 / REW264_BEN_EVSALSAC. The four presence authorities disagree wildly (43 vs 89 vs 93 not-offered orgs) — presence-authority reconciliation is prerequisite seed-repair before conditioning is enforceable.
REW_INC_136,a_conditioning_child,9.5,high,orgs operating commission plans = REW_INC_135='Yes' (n=36),REW_INC_135,value = 'Yes' (explicit Yes/No commission-exists gate; Yes 36 / No 184),"21 N/A: 19 are 135-No, 2 are 135-Yes-but-N/A; BUT 165 of the 184 135-No orgs answered 136 with substantive commission structures (136 seeded to all 220 while only 36 tick Yes)","Textbook conditioning child of REW_INC_135; N/A direction is fine, the 165 parent-No substantive answers are the largest presence contradiction in this batch — seed-repair before conditioning",commission family (135 parent; 136 + REW265_INC_COMMCAP children); implied presence 199/220 here vs 36/220 on the parent vs 123/220 on COMMCAP
