metric_id,base_type,sme_pct,large_pct,all_pct,single_pct,target_semantics,verbatim_evidence,ordering_needed,flags
REW_FAI_089,all_only,,,53,,"Recommended target: share of ALL UK employers publishing salary ranges on external job adverts always-or-sometimes = 53% — POSITIVE-pole figure mapping to the 'Some roles'+'All roles' side of the ruled ordering. The coexisting 47% ('never/plans') is the NEGATIVE POLE complement (maps to 'No'; 53+47=100, internally consistent). The ~40% 'always' figure is the 'All roles'-only share and is approximate as written.","""Publish salary ranges in external job adverts: ~40% always; 53% always-or-sometimes; 47% never/plans"". Note '~40%' carries a tilde (approximate); 53 and 47 are exact as written.","Ruled ordering EXISTS in ruled_orderings.json: ['No','Some roles','All roles'], no positive_from → default lean = {'No'}, positive = Some roles + All roles. The 53% target matches this default split exactly, so NO new key is needed if 53 is ruled in. Using ~40% 'always' instead would require positive_from='All roles'.","MARGINAL CANDIDATE with a deliberate-pick requirement: three coexisting figures for one axis — 53 (recommended, matches default ruled split), 47 (NEGATIVE POLE — never report as positive; also bundles 'plans to' intenders into the No side), ~40 (approximate, All-roles-only, needs positive_from change). Same CIPD PPT 2024 base as EQUALPAYAUDIT: all-UK label but large-skewed composition (57% large 250+). No SME/large split figures → all_only, no pairing-trap exposure."
PROP_36b990f9,not_prevalence,,,,,"None assertable. The anchor states a typical contribution LEVEL ('Employer 5-8% typical') and the statutory minimum ('3% legal min') — these are percentages of pensionable pay, not shares of employers. No option-side share exists on either pole.","""Employer 5-8% typical; 3% legal min"" — both numbers are contribution rates (values), NOT prevalence percentages; no midpoint declared because they are not shares.",Not in ruled_orderings.json. DB option scale is naturally ordered (<3% / 3%–4% / 5%–7% / 8%–10% / 11%+ plus three is_na options) but moot — row stays context.,"STAYS CONTEXT: value/level anchor, not prevalence. Extra hazard if anyone tries to seed a distribution: '5-8% typical' straddles two DB bands (5%–7% and 8%–10%), so it cannot map to a single option. Grade A label but base_field is unstructured 'mixed UK'."
PROP_8e0b6316,not_prevalence,,,,,"Would assert: share of all-UK employers whose main pay review cycle is annual (positive side = 'Annually' in the single_select ladder Annually / Twice a year / Quarterly / No regular cycle (ad hoc)). No figure can be asserted - the anchor is purely qualitative ('predominantly annual'), so neither a positive nor a negative-pole share exists.","""Pay review cycle frequency: predominantly annual (standard UK practice)"" - contains NO number anywhere in real_anchor, base_field, or source.","ABSENT from ruled_orderings.json. No obvious yes/no axis: options are frequency categories (Annually, Twice a year, Quarterly, No regular cycle (ad hoc), plus two is_na options). If ever emitted, would need a new ruled ordering + positive_from key; lean side would presumably be 'No regular cycle (ad hoc)'. Moot while no figure exists.","STAYS CONTEXT: qualitative anchor, EST grade, source '-'. There is no percentage to validate verbatim downstream. 'Predominantly annual' is a directional claim over a frequency distribution, not a prevalence figure."
RED_PROC_01,not_prevalence,,,,,"None assertable. A marginal would state the share of employers with a documented, consistently applied redundancy process (positive side = 'Yes' on the yes_no axis), but the anchor carries zero figures.","""Documented redundancy process: best-practice, no clean prevalence %"" — no numbers present.",Not in ruled_orderings.json. Obvious yes/no axis (lean side = 'No'; DB also has 'Partially...' and 'Don't know' as is_na=true). Moot — stays context.,"STAYS CONTEXT: qualitative best-practice statement, explicitly 'no clean prevalence %'. Grade C, base_field 'mixed - WEAK'."
RED_TERM_01,not_prevalence,,,,,"None assertable. A marginal would state the share offering enhanced redundancy pay (positive side = enhanced options; lean pole = 'Statutory only (no enhancement)'), but the anchor has no figure — only the qualitative claim that enhancement is 'common in large/structured employers'.","""Enhanced redundancy: common in large/structured employers; no single clean %"" — no numbers present.",Not in ruled_orderings.json. If ever emitted this metric ALSO needs a new ruled ordering + positive_from: lean pole 'Statutory only (no enhancement)'; placement of 'Discretionary / negotiated case-by-case' relative to the two enhanced options is genuinely ambiguous and needs David's ruling. Moot for now — stays context.,"STAYS CONTEXT: qualitative, large-skew claim, no %. Data quirk noticed in DB (read-only): option 'Enhanced redundancy pay (varies by grade/tenure)' has is_na=true while its siblings are is_na=false — looks like a mis-set NA flag worth checking, since it is a substantive answer, not a skip."
REW263_BEN_PENBASIS,not_prevalence,,,,,None assertable. The question is a 3-way categorical distribution (Qualifying earnings (band) / Basic pay / Total/full pay); the anchor has no figures at all — only the qualitative prior that qualifying earnings is the default.,"""Pension earnings basis not separately surveyed; qualifying-earnings default"" — no numbers present.",Not in ruled_orderings.json. A generosity ordering is arguable (Qualifying earnings (band) < Basic pay < Total/full pay) but would need a David ruling; moot — stays context.,"STAYS CONTEXT: EST grade, source '-', base 'n/a', explicitly 'not separately surveyed'. Purely qualitative default statement over a categorical distribution."
REW263_BEN_PMIEXCESS,not_prevalence,,,,,"None assertable FOR THIS METRIC. The question targets excess/cost-share design among PMI offerers — a conditional base ('of PMI schemes'), and the only design figure (53% on zero or £100 excess) straddles the 'No excess' vs excess-bearing option boundary, so it cannot seed the option split. The anchor's clean prevalence set (18% all-UK / 70% large / 17-18% SME) asserts PMI OFFER prevalence — a different construct belonging to the PMI-offer metric; all three are POSITIVE-pole (share offering), none negative-pole.","Prevalence set (different construct — PMI offer): ""18% of all UK employers offer PMI/health insurance (70% of large 250+ employers; 17-18% of SMEs)"" — range ""17-18%"" midpoint 17.5, midpoint-declared. Conditional coverage detail: ""Of large employers offering PMI, only ~50% extend it to all staff"". Excess design (conditional, among schemes): ""53% of PMI schemes on zero or £100 excess"".",Not in ruled_orderings.json. Ordering over the excess options is genuinely ambiguous (is 'No excess' best-for-employee vs 'Employee co-pays premium' worst? where do per-claim vs per-year sit?) and would need a fresh David ruling if this were ever seeded; moot — stays context.,"STAYS CONTEXT for this metric; RE-HOME CANDIDATE: the prevalence set is a textbook sme_large pair for the PMI-offer metric — blend pair is SME 17-18 (midpoint 17.5) + large 70; PAIRING TRAP LIVE: all-UK 18 is numerically ~equal to SME 17-18, never take 18 as the SME rate. Basis mismatch inside anchor: '~50% extend it to all staff' is offered-to-all vs any-offer among large offerers (conditional). 53% excess figure is Broadstone 2023 Grade B large-skew and straddles option categories ('zero or £100' spans 'No excess' and per-claim/per-year with £100). Possible ruling option for David: the 18% offer rate could gate this question's 'Not applicable' NA share (~82% NA) — needs an explicit ruling, not assumed."
REW263_REC_CURRENCY,not_prevalence,,,,,"No prevalence marginal assertable: this is a distribution/stance across recognition-currency types, not a yes/no prevalence. Directionally: experiential/voucher dominates (43.5%), cash rare (5.9%). No option-side is a meaningful 'positive' pole, and the anchor's category shares cannot be read as a single positive or negative share.","""vouchers dominate at 43.5%; pick-and-send specific gift 32.9%; mix of approaches 27.1%; recipient choice 20%; CASH only 5.9%"" and ""Mostly experiential/voucher rather than cash."" Figures sum to ~129.4%.","Not in ruled_orderings.json. DB question is nominal single_select (Monetary / Experiential/voucher / Points-based / Mixed, + 'Not applicable' is_na=true) with no natural worst→best axis and no obvious yes/no axis — promotion would require a wholly new ruled ordering or worst_option decision, and it is unclear any pole is 'lean'.","STAYS CONTEXT — distribution + basis mismatch: anchor figures sum to ~129% so the source question was multi-select, while the DB question is single_select 'primarily' — the shares are not answers to the DB question. GRADE CONFLICT: register grade field says 'A' but base_field says 'C-grade: treat as directional' (n=85, self-selected vendor audience, tech/prof-services skew) — needs David's reconciliation. The retention-effectiveness figures (20% vs ~49%) are perception data, not prevalence. Anchor categories (pick-and-send gift, recipient choice) do not map 1:1 to DB options; 'Points-based' has no anchor figure."
REW263_WEL_DATA,not_prevalence,,,,,"No marginal assertable: anchor is qualitative with zero numeric figures. If ever promoted it would assert the share of UK employers tracking at least one wellbeing/health data type (positive side = any of Absence rates / PMI claims / Wellbeing scores / EAP utilisation; lean side = 'None'), but no such figure exists in the register.","""not a clean single prevalence; absence-data analysis common"" — no numbers anywhere in the anchor.",Not in ruled_orderings.json. Question is multi_select (Absence rates / PMI claims / Wellbeing scores / EAP utilisation / None); promotion would need a worst_option='None' ruling per the REW_BEN_044 SIPELEM pattern. Lean side = 'None'. Moot while it stays context.,"STAYS CONTEXT — not_prevalence because purely qualitative: grade EST, source '-', base_field 'n/a', and the anchor itself says 'not a clean single prevalence'. Nothing for the verbatim validator to check."
REW26_WEL_MH_SUPPORT,not_prevalence,,,,,"No single marginal assertable: multi-per-option. Anchor gives four separate per-option shares of all UK orgs offering each measure (positive side = offers the measure), but NO any-support-vs-none figure exists, so there is no single prevalence for the marginal to assert. Per-option figures are all POSITIVE-pole (share offering).","""counselling 43%, phased return 43%, EAP 41%, MHFA 40% (top measures, all orgs)"" — four figures, one per measure, none is an overall/any-provision rate.",Not in ruled_orderings.json. Question is multi_select (MH first aiders / Counselling / Digital app / Manager training / MH days / None); promotion would need worst_option='None' (SIPELEM pattern) PLUS a per-option target-mapping ruling. Lean side = 'None'.,"STAYS CONTEXT — multi-per-option. Option-mapping gaps if David rules per-option targets: anchor's 'phased return 43%' and 'EAP 41%' have NO matching DB options; DB options 'Digital app', 'Manager training', 'MH days' have no anchor figures; clean maps are counselling 43%→COUNSELLING and MHFA 40%→MH_FIRST_AIDERS. Source (CIPD H&W 2025, n=1,101) has separate large (n=376) and SME (n=446) bases but no size-split figures quoted in the anchor, so no pairing-trap exposure here."
REW_BEN_047,not_prevalence,,,,,"No marginal assertable. The question is a waiting-period LEVEL/distribution among income-protection offerers (conditional base: 'If income protection is offered'), and the register explicitly states no prevalence figure exists. No positive/negative pole and no number to carry. STAYS CONTEXT.","""Income-protection waiting period: not given as prevalence in these sources"" — no numbers present in the anchor; base_field is ""n/a"", source ""-"".","REW_BEN_047 has NO entry in ruled_orderings.json (siblings REW_BEN_045/046/048 do). If it were ever promoted it would need a new ruled ordering over ['<4 weeks','4–13 weeks','14–26 weeks','27 weeks or more'] plus a positive_from — note shorter wait is better, so the DB order runs best-first, opposite to most ruled orderings (cf. REW_BEN_SICK_004 where 'No waiting period' is positive_from). Lean side would be the long-wait rungs. Moot while it stays context.","not_prevalence: EST-grade, no source figure, value/level question. Conditional base 'among offerers' — the NA option 'Not applicable / not offered' (is_na=true) implies the same conditioning-skip pattern as REW_BEN_SICK_004 (child-of-offer conditioning, not label-based NA)."
REW_INC_060,not_prevalence,,,,,"Per-option incidence, not a single marginal: for each measure, the share of answering employers (n=62) whose main bonus/incentive scheme uses that measure; positive per option = 'measure is used'. Multi-per-option - seven separate figures, one per measure, on a multi_select question; no single positive/negative axis exists.","""Profitability 71%, Operational performance 68%, Individual performance 66%, Strategic goals 39%, Health & Safety 34%, Revenue 32%, Cost control 31% (n=62)"" - seven per-option figures: 71, 68, 66, 39, 34, 32, 31.","ABSENT from ruled_orderings.json. multi_select question - ruled-ordering / worst_option semantics do not apply at question level; any future use would need per-option handling, not an ordering.","STAYS CONTEXT: multi-per-option figures on a multi_select - no single prevalence marginal. Answered-only n=62, large-employer/FTSE skew, pre-2024 vintage, Grade B legacy source. Label mismatch with live DB options: 'Profitability' vs DB 'Company financial performance'; 'Operational performance' vs DB 'Operational KPIs'; 'Individual performance' vs DB 'Individual objectives' and/or 'Performance rating'; 'Health & Safety' vs DB 'Safety / compliance metrics'; 'Strategic goals' and 'Cost control' have NO direct DB option - a mapping ruling would be needed before any per-option use."
REW_PAY_005,not_prevalence,,,,63.5,"Would assert (per job level, NOT per organisation): share of answering employers targeting market median for pay at a given level - i.e. the 'On Market' option in the ladder Above Market / Slightly Above / On Market / Slightly Below / Below Market. This is a stance/positioning distribution with no inherent positive pole; 'On Market' is merely the modal stance. The ~24% figure is the 'Slightly Above' share at Exec/Director level only, not an all-org figure.","""Most employers target market median across all levels (58-69%)"" - range 58-69%, midpoint 63.5, MIDPOINT-DECLARED (the range varies by job level; no single all-org figure exists in the source). Also: ""slight upward skew at Exec/Director ('slightly above median' ~24%)""; ""Very few target below median"" (qualitative, no number).","ABSENT from ruled_orderings.json. The DB options form a natural ladder (Above Market -> Below Market) but this is a stance question, so positive_from / worst_option semantics do not apply cleanly; if ever emitted a new ruled ordering + positive_from would be needed (lean side presumably Slightly Below / Below Market).","STAYS CONTEXT: stance/positioning question - prevalence may not apply. The figure is a RANGE across levels (58-69% by level), not a single employer-level share; single_pct=63.5 is a declared midpoint of that range and appears nowhere verbatim in the register. Answered-only n=50-51, large-employer/FTSE skew, pre-2024 vintage, Grade B legacy source (HR Data Hub intake 2019-20)."
REW_Q528801,not_prevalence,,,,,"No share assertable: the anchor states typical VALUE levels (pay multipliers per shift type - weekday 1.5x, Saturday 1.5x, Sunday 2.0x, Bank Holiday 2.0x, night escalates), not the share of employers doing anything. A marginal would have nothing to assert; the multipliers are ratios, not percentages, and must not be entered in any pct field.","""Typical OT/unsocial-hours multipliers: weekday 1.5x, Saturday 1.5x, Sunday 2.0x, Bank Holiday 2.0x (day & night); night work escalates the rate"" - all figures are multiplier values (1.5x/2.0x), zero percentages present.",ABSENT from ruled_orderings.json and not applicable: live DB type is 'matrix' with EMPTY options_json - there is no option axis to order.,"STAYS CONTEXT: value/level anchor (typical multipliers per shift-type cell), matrix question with empty options_json. Per-cell multi-value structure. Answered-only n unstated, large/FTSE skew, pre-2024, Grade B legacy source. Shares an IDENTICAL anchor with REW_Q534581 (see that row)."
REW_Q534581,not_prevalence,,,,,"No share assertable: identical anchor to REW_Q528801 - typical VALUE levels (pay multipliers by time band for hourly-paid roles: weekday 1.5x, Saturday 1.5x, Sunday 2.0x, Bank Holiday 2.0x, night escalates), not employer shares. Multipliers are ratios, not percentages - no pct field applies.","""Typical OT/unsocial-hours multipliers: weekday 1.5x, Saturday 1.5x, Sunday 2.0x, Bank Holiday 2.0x (day & night); night work escalates the rate"" - identical substring to REW_Q528801; all figures are multiplier values, zero percentages.",ABSENT from ruled_orderings.json and not applicable: live DB type is 'matrix' with EMPTY options_json - no option axis to order.,"STAYS CONTEXT: value/level anchor on a matrix question with empty options_json. DUPLICATE-ANCHOR FLAG: real_anchor text is character-identical to REW_Q528801 (two matrix questions sharing one register anchor) - dedup/cross-reference ruling needed if either is ever surfaced. Same legacy base caveats: answered-only n unstated, large/FTSE skew, pre-2024, Grade B."
